player_id,first_name,last_name,bats,throws,primary_position,other_positions,is_pitcher,birthdate,ch,ph,sp,fa,arm,endurance,control,movement,hold_runner
D20250001,Leroy,Harris,R,R,3B,[],False,2007-11-27,65,46,63,30,53,0,0,0,0
D20250002,Francisco,Gomez,S,R,P,[],True,2007-02-13,48,59,36,56,33,65,41,37,33
D20250003,Augustus,Mainz,R,R,P,[],True,2007-04-25,60,64,52,63,31,52,36,49,55
D20250004,Duncan,Ruvo,R,R,C,[],False,2007-09-07,48,42,45,68,32,0,0,0,0
D20250005,Bryant,Psuik,R,R,C,[],False,2007-09-12,40,64,47,58,66,0,0,0,0
D20250006,Burl,Gurganus,S,L,P,[],True,2007-09-15,39,62,71,67,31,74,64,60,52
D20250007,Neville,Spigner,S,S,SS,[],False,2007-04-12,49,69,63,68,49,0,0,0,0
D20250008,Pedro,Rodriguez,L,L,SS,[],False,2007-06-10,58,39,65,39,72,0,0,0,0
D20250009,Edison,Pavlick,S,S,3B,[],False,2007-05-19,44,35,52,69,65,0,0,0,0
D20250010,Gene,Lyday,S,S,3B,[],False,2007-09-19,44,67,54,51,62,0,0,0,0
D20250011,Gene,Lyday,L,L,SS,[],False,2007-10-01,67,61,73,32,43,0,0,0,0
D20250012,Lesley,Centorino,R,R,P,[],True,2007-03-21,35,41,67,57,42,68,44,51,46
D20250013,Eduardo,Torres,R,R,LF,[],False,2007-11-08,55,51,73,38,70,0,0,0,0
D20250014,Roberto,Rivera,S,L,P,[],True,2007-03-13,67,44,45,72,56,54,63,46,32
D20250015,Raul,Cruz,S,R,P,[],True,2007-01-25,68,65,50,46,34,62,68,57,41
D20250016,Yong,Yamamoto,L,L,P,[],True,2007-10-14,42,50,68,39,46,79,61,56,40
D20250017,Leroy,Young,L,R,P,[],True,2007-12-05,39,41,41,46,52,71,46,67,50
D20250018,Titus,Ettl,R,R,P,[],True,2007-10-04,51,52,42,70,33,77,56,54,37
D20250019,Raul,Delgado,S,L,P,[],True,2007-12-25,55,47,47,59,70,58,70,52,51
D20250020,Cedric,Baker,L,L,C,[],False,2007-01-25,69,64,65,39,74,0,0,0,0
D20250021,Kory,Ingegneri,R,L,P,[],True,2007-07-12,53,40,36,63,57,66,38,40,58
D20250022,Leroy,Wright,S,L,P,[],True,2007-02-09,68,36,38,64,74,47,56,58,59
D20250023,Fernando,Vasquez,L,L,SS,[],False,2007-02-12,51,51,37,73,61,0,0,0,0
D20250024,Yong,Kim,S,S,2B,[],False,2007-10-25,55,54,71,46,32,0,0,0,0
D20250025,Everette,Stoeger,S,R,P,[],True,2007-12-10,58,69,51,68,52,59,62,37,35
D20250026,Otis,Mihal,R,R,2B,[],False,2007-03-20,50,51,31,72,61,0,0,0,0
D20250027,Cedric,Walker,L,L,C,[],False,2007-03-07,50,41,56,47,39,0,0,0,0
D20250028,Percy,Wright,S,S,1B,[],False,2007-05-27,52,50,33,56,63,0,0,0,0
D20250029,Clarence,Bazemore,R,R,1B,[],False,2007-07-21,48,48,32,62,37,0,0,0,0
D20250030,Deshawn,Young,L,L,1B,[],False,2007-05-13,35,38,49,38,31,0,0,0,0
D20250031,Antonio,Torres,L,R,P,[],True,2007-05-10,43,35,38,43,39,80,35,43,32
D20250032,Ivan,Skalicky,S,S,RF,[],False,2007-10-05,41,70,33,43,72,0,0,0,0
D20250033,Grover,Fadale,R,R,SS,[],False,2007-11-04,39,55,43,70,53,0,0,0,0
D20250034,Jose,Morales,L,L,C,[],False,2007-10-23,61,66,45,40,50,0,0,0,0
D20250035,Grover,Fadale,R,R,P,[],True,2007-05-18,45,64,53,57,32,53,54,55,55
D20250036,Burl,Gurganus,S,S,C,[],False,2007-03-04,47,38,51,49,71,0,0,0,0
D20250037,Kory,Ingegneri,S,S,CF,[],False,2007-12-18,48,65,62,56,59,0,0,0,0
D20250038,Rodrick,Michalek,S,R,P,[],True,2007-07-25,42,57,41,37,70,60,63,43,56
D20250039,Ed,Nibbe,L,L,1B,[],False,2007-02-19,36,35,46,35,49,0,0,0,0
D20250040,Stephan,Chavana,L,R,P,[],True,2007-01-15,37,56,71,38,64,73,39,48,49
D20250041,Irwin,Mcclish,L,L,LF,[],False,2007-11-21,56,70,46,42,69,0,0,0,0
D20250042,Darnell,Mitchell,R,R,3B,[],False,2007-08-23,46,38,63,49,71,0,0,0,0
D20250043,Jake,Tarrant,R,R,2B,[],False,2007-12-07,55,46,62,57,41,0,0,0,0
D20250044,Xavier,Young,L,L,CF,[],False,2007-02-10,47,45,42,67,70,0,0,0,0
D20250045,Darnell,Jefferson,L,R,P,[],True,2007-12-05,41,61,61,67,57,80,54,44,33
D20250046,Cedric,Walker,S,S,RF,[],False,2007-03-26,54,53,40,53,47,0,0,0,0
D20250047,Rafael,Rodriguez,S,R,P,[],True,2007-06-27,53,70,73,44,40,59,50,63,44
D20250048,Jamal,Mitchell,R,R,P,[],True,2007-11-06,51,37,71,43,49,57,37,52,59
