player_id,first_name,last_name,bats,throws,primary_position,other_positions,is_pitcher,birthdate,height,weight,ethnicity,skin_tone,hair_color,facial_hair,role,preferred_pitching_role,hitter_archetype,pitcher_archetype,ch,ph,sp,eye,gf,pl,vl,sc,fa,arm,endurance,control,movement,hold_runner,fb,cu,cb,sl,si,scb,kn,pot_ch,pot_ph,pot_sp,pot_eye,pot_gf,pot_pl,pot_vl,pot_sc,pot_fa,pot_arm,pot_control,pot_movement,pot_endurance,pot_hold_runner,pot_fb,pot_cu,pot_cb,pot_sl,pot_si,pot_scb,pot_kn,durability
D20250001,Guadalupe,Tritz,S,R,SS,[],False,2007-06-06,78,161,Anglo,light,black,mustache,,,,,52,50,49,51,50,49,53,50,51,53,0,0,0,0,0,0,0,0,0,0,0,66,61,68,64,50,0,0,50,69,72,0,0,0,0,0,0,0,0,0,0,0,62
D20250002,Antonio,Gonzalez,R,L,RF,[],False,2007-06-12,70,221,Hispanic,medium,black,clean_shaven,,,,,50,63,51,51,47,49,60,51,50,49,0,0,0,0,0,0,0,0,0,0,0,61,85,66,62,47,0,0,51,74,64,0,0,0,0,0,0,0,0,0,0,0,76
D20250003,Pedro,Perez,R,R,P,[],True,2007-07-01,73,165,African,medium,black,mustache,RP,SP,,,0,0,0,0,54,58,46,0,51,49,51,50,52,49,50,58,61,0,61,0,0,0,0,0,0,0,0,0,0,65,61,75,79,78,78,72,68,86,0,89,0,0,62
D20250004,Alejandro,Gonzalez,R,R,RF,[],False,2007-03-10,76,191,Anglo,light,brown,clean_shaven,,,,,50,60,52,49,49,50,57,50,52,50,0,0,0,0,0,0,0,0,0,0,0,65,90,77,79,49,0,0,50,82,69,0,0,0,0,0,0,0,0,0,0,0,67
D20250005,Tyrone,Gaines,R,R,P,[],True,2007-05-03,69,188,Asian,dark,brown,clean_shaven,RP,RP,,,0,0,0,0,50,46,47,0,53,50,51,53,52,52,54,0,58,67,58,0,0,0,0,0,0,0,0,0,0,73,64,70,77,79,70,65,0,80,82,87,0,0,56
D20250006,Leroy,Jefferson,L,R,P,[],True,2007-06-04,72,173,African,dark,brown,clean_shaven,RP,SP,,,0,0,0,0,48,61,49,0,51,52,53,53,54,49,52,60,59,61,0,57,0,0,0,0,0,0,0,0,0,73,72,66,70,68,77,64,90,70,85,0,86,0,69
D20250007,Raul,Perez,L,R,P,[],True,2007-05-01,78,245,Asian,medium,black,clean_shaven,RP,RP,,,0,0,0,0,53,58,47,0,48,53,50,50,54,50,54,0,0,66,0,0,0,0,0,0,0,0,0,0,0,72,65,62,77,61,79,82,0,0,88,0,0,0,70
D20250008,Roberto,Sanchez,R,R,P,[],True,2007-04-21,69,175,African,medium,black,clean_shaven,RP,SP,,,0,0,0,0,49,52,47,0,51,52,52,53,52,49,51,0,63,60,61,0,0,0,0,0,0,0,0,0,0,73,75,69,82,63,66,69,0,90,78,80,0,0,62
D20250009,Tyrone,Mitchell,R,R,P,[],True,2007-07-24,69,214,Anglo,medium,brown,goatee,RP,SP,,,0,0,0,0,48,54,48,0,54,52,49,50,54,49,52,0,61,63,0,0,0,0,0,0,0,0,0,0,0,77,79,67,79,61,65,71,0,73,81,0,0,0,62
D20250010,Xavier,Scott,R,R,P,[],True,2007-05-15,77,181,African,dark,black,clean_shaven,RP,SP,,,0,0,0,0,50,51,46,0,52,50,49,52,54,51,52,0,57,59,64,0,0,0,0,0,0,0,0,0,0,76,69,65,76,79,61,80,0,80,73,83,0,0,65
D20250011,Hector,Gonzalez,R,R,P,[],True,2007-08-07,70,222,Asian,medium,black,clean_shaven,RP,SP,,,0,0,0,0,52,46,48,0,49,51,53,52,52,52,51,61,58,62,62,0,0,0,0,0,0,0,0,0,0,67,63,82,76,80,69,78,76,87,91,90,0,0,61
D20250012,Rufus,Taylor,R,R,1B,[],False,2007-03-09,69,177,Hispanic,medium,black,clean_shaven,,,,,52,58,50,49,50,53,54,50,49,50,0,0,0,0,0,0,0,0,0,0,0,78,79,69,73,50,0,0,50,65,77,0,0,0,0,0,0,0,0,0,0,0,70
D20250013,Houston,Unck,R,R,2B,[],False,2007-07-16,75,175,Asian,medium,black,clean_shaven,,,,,50,48,70,51,52,50,60,51,51,51,0,0,0,0,0,0,0,0,0,0,0,67,64,80,71,52,0,0,51,61,76,0,0,0,0,0,0,0,0,0,0,0,60
D20250014,Deshawn,Allen,S,R,1B,['LF'],False,2007-11-10,72,173,Hispanic,medium,black,clean_shaven,,,,,52,48,70,51,51,48,50,49,48,51,0,0,0,0,0,0,0,0,0,0,0,78,70,84,65,51,0,0,49,77,81,0,0,0,0,0,0,0,0,0,0,0,73
D20250015,Mason,Rutar,R,R,SS,[],False,2007-12-20,69,196,Asian,medium,black,clean_shaven,,,,,62,49,50,59,49,49,56,52,48,52,0,0,0,0,0,0,0,0,0,0,0,92,60,70,87,49,0,0,52,71,67,0,0,0,0,0,0,0,0,0,0,0,66
