player_id,first_name,last_name,bats,throws,primary_position,other_positions,is_pitcher,birthdate,height,weight,ethnicity,skin_tone,hair_color,facial_hair,role,preferred_pitching_role,hitter_archetype,pitcher_archetype,ch,ph,sp,eye,gf,pl,vl,sc,fa,arm,endurance,control,movement,hold_runner,fb,cu,cb,sl,si,scb,kn,pot_ch,pot_ph,pot_sp,pot_eye,pot_gf,pot_pl,pot_vl,pot_sc,pot_fa,pot_arm,pot_control,pot_movement,pot_endurance,pot_hold_runner,pot_fb,pot_cu,pot_cb,pot_sl,pot_si,pot_scb,pot_kn,durability
D20280001,Tyrone,Taylor,R,R,C,[],False,2010-09-19,72,232,Anglo,medium,brown,beard,,,balanced,,48,49,48,51,48,49,56,48,52,51,0,0,0,0,0,0,0,0,0,0,0,59,73,70,81,48,0,0,48,63,63,0,0,0,0,0,0,0,0,0,0,0,69
D20280002,Ricardo,Ramos,R,R,P,[],True,2010-07-01,76,239,Hispanic,medium,brown,goatee,RP,SP,,power_sp,0,0,0,0,48,55,49,0,50,49,52,50,52,51,47,55,59,59,0,0,0,0,0,0,0,0,0,0,0,67,72,71,77,70,75,68,71,71,76,0,0,0,54
D20280003,Cedric,Taylor,S,R,P,[],True,2010-03-01,68,191,Anglo,medium,brown,clean_shaven,RP,SP,,balanced_sp,0,0,0,0,50,46,48,0,51,48,50,52,52,48,47,60,62,60,55,0,0,0,0,0,0,0,0,0,0,64,60,70,76,75,66,71,84,91,78,71,0,0,64
D20280004,Tyrone,Taylor,R,R,RF,[],False,2010-07-05,69,195,Anglo,medium,black,mustache,,,gap,,50,51,51,50,51,49,54,48,51,51,0,0,0,0,0,0,0,0,0,0,0,62,79,61,69,51,0,0,48,65,67,0,0,0,0,0,0,0,0,0,0,0,59
D20280005,Hoyt,Seevers,L,R,P,[],True,2010-07-14,69,196,Anglo,light,red,clean_shaven,RP,RP,,finesse_rp,0,0,0,0,48,55,48,0,50,52,50,51,52,49,51,59,59,0,0,0,0,0,0,0,0,0,0,0,0,73,62,62,79,68,69,64,84,78,0,0,0,0,60
D20280006,Leroy,White,L,R,1B,[],False,2010-10-17,77,210,Anglo,light,blonde,beard,,,power,,49,56,49,48,52,49,48,48,48,51,0,0,0,0,0,0,0,0,0,0,0,62,68,66,59,52,0,0,48,75,69,0,0,0,0,0,0,0,0,0,0,0,67
D20280007,Hector,Gomez,L,L,P,[],True,2010-06-25,69,250,Anglo,light,brown,clean_shaven,RP,SP,,workhorse_sp,0,0,0,0,49,54,55,0,52,50,49,50,52,52,52,61,59,62,55,0,0,0,0,0,0,0,0,0,0,63,60,75,70,70,82,64,91,81,75,78,0,0,58
D20280008,Chauncey,Wyles,R,R,C,[],False,2010-12-15,78,173,Anglo,light,red,clean_shaven,,,average,,52,48,52,51,50,49,54,49,51,51,0,0,0,0,0,0,0,0,0,0,0,67,71,71,64,50,0,0,49,79,74,0,0,0,0,0,0,0,0,0,0,0,74
D20280009,Clayton,Sirmons,R,R,3B,[],False,2010-05-21,76,229,Anglo,medium,black,clean_shaven,,,balanced,,51,51,48,51,48,50,56,48,52,50,0,0,0,0,0,0,0,0,0,0,0,74,63,73,74,48,0,0,48,79,78,0,0,0,0,0,0,0,0,0,0,0,76
D20280010,Humberto,Tichi,S,R,P,[],True,2010-08-14,68,219,Anglo,dark,brown,clean_shaven,RP,SP,,workhorse_sp,0,0,0,0,51,51,48,0,52,51,48,52,52,49,50,59,59,62,0,56,0,0,0,0,0,0,0,0,0,66,72,68,73,62,67,67,72,77,90,0,75,0,71
