player_id,first_name,last_name,bats,throws,primary_position,other_positions,is_pitcher,birthdate,height,weight,ethnicity,skin_tone,hair_color,facial_hair,role,preferred_pitching_role,hitter_archetype,pitcher_archetype,ch,ph,sp,eye,gf,pl,vl,sc,fa,arm,endurance,control,movement,hold_runner,fb,cu,cb,sl,si,scb,kn,pot_ch,pot_ph,pot_sp,pot_eye,pot_gf,pot_pl,pot_vl,pot_sc,pot_fa,pot_arm,pot_control,pot_movement,pot_endurance,pot_hold_runner,pot_fb,pot_cu,pot_cb,pot_sl,pot_si,pot_scb,pot_kn,durability
D20270001,Deshawn,Robinson,R,R,P,[],True,2009-10-21,72,224,Anglo,medium,black,clean_shaven,RP,RP,,power_rp,0,0,0,0,51,65,50,0,49,48,51,52,52,49,46,0,62,58,57,0,0,0,0,0,0,0,0,0,0,62,78,64,80,81,68,69,0,76,74,78,0,0,57
D20270002,Gregorio,Cadle,L,R,P,[],True,2009-02-22,68,212,Anglo,medium,black,clean_shaven,RP,SP,,finesse_sp,0,0,0,0,48,56,48,0,49,50,49,50,52,51,48,61,58,54,0,56,0,0,0,0,0,0,0,0,0,79,69,71,73,76,69,63,80,75,78,0,66,0,64
D20270003,Lenny,Haysbert,R,R,1B,[],False,2009-08-20,78,240,Anglo,light,blonde,clean_shaven,,,speed,,50,52,70,49,52,48,56,52,48,50,0,0,0,0,0,0,0,0,0,0,0,70,80,85,66,52,0,0,52,73,80,0,0,0,0,0,0,0,0,0,0,0,68
D20270004,Miguel,Flores,R,R,C,[],False,2009-04-15,75,180,Anglo,light,brown,beard,,,power,,49,58,49,49,52,48,56,50,49,50,0,0,0,0,0,0,0,0,0,0,0,64,76,64,77,52,0,0,50,67,63,0,0,0,0,0,0,0,0,0,0,0,70
D20270005,Albert,Bertagnolli,R,R,P,[],True,2009-02-20,69,170,Anglo,dark,black,clean_shaven,RP,LR,,long_relief,0,0,0,0,50,59,48,0,48,50,52,52,52,50,49,61,0,59,0,0,0,0,0,0,0,0,0,0,0,64,75,80,81,77,69,69,79,0,70,0,0,0,58
D20270006,Antonio,Gonzalez,R,R,2B,[],False,2009-09-09,78,198,Anglo,light,brown,clean_shaven,,,spray,,60,50,52,50,52,52,54,48,51,48,0,0,0,0,0,0,0,0,0,0,0,72,62,74,80,52,0,0,48,73,78,0,0,0,0,0,0,0,0,0,0,0,67
D20270007,Hector,Ramirez,R,R,P,[],True,2009-06-13,71,196,Anglo,light,black,clean_shaven,RP,CL,,closer,0,0,0,0,55,44,46,0,49,51,51,51,52,50,51,53,0,65,0,0,0,0,0,0,0,0,0,0,0,74,62,64,70,68,74,77,67,0,90,0,0,0,64
D20270008,Deshawn,White,R,R,3B,[],False,2009-07-04,73,170,Anglo,light,brown,clean_shaven,,,balanced,,52,51,49,50,52,51,52,52,50,48,0,0,0,0,0,0,0,0,0,0,0,75,66,62,70,52,0,0,52,69,69,0,0,0,0,0,0,0,0,0,0,0,69
D20270009,Percy,Carter,S,R,SS,[],False,2009-03-12,71,192,Anglo,medium,blonde,goatee,,,gap,,49,52,51,50,51,50,48,51,48,49,0,0,0,0,0,0,0,0,0,0,0,68,75,72,67,51,0,0,51,58,68,0,0,0,0,0,0,0,0,0,0,0,63
D20270010,Miguel,Mendoza,R,R,C,[],False,2009-01-13,74,249,Anglo,light,brown,clean_shaven,,,balanced,,52,50,50,50,52,52,56,49,51,48,0,0,0,0,0,0,0,0,0,0,0,64,72,78,78,52,0,0,49,76,60,0,0,0,0,0,0,0,0,0,0,0,62
