player_id,first_name,last_name,bats,throws,primary_position,other_positions,is_pitcher,birthdate,height,weight,ethnicity,skin_tone,hair_color,facial_hair,role,preferred_pitching_role,hitter_archetype,pitcher_archetype,ch,ph,sp,eye,gf,pl,vl,sc,fa,arm,endurance,control,movement,hold_runner,fb,cu,cb,sl,si,scb,kn,pot_ch,pot_ph,pot_sp,pot_eye,pot_gf,pot_pl,pot_vl,pot_sc,pot_fa,pot_arm,pot_control,pot_movement,pot_endurance,pot_hold_runner,pot_fb,pot_cu,pot_cb,pot_sl,pot_si,pot_scb,pot_kn,durability
D20290001,Beau,Gaede,R,R,2B,[],False,2011-03-10,73,213,Anglo,light,blonde,goatee,,,balanced,,51,52,51,49,48,49,52,49,48,49,0,0,0,0,0,0,0,0,0,0,0,73,65,73,74,48,0,0,49,67,67,0,0,0,0,0,0,0,0,0,0,0,65
D20290002,Doyle,Camerena,S,R,CF,[],False,2011-03-13,70,227,Hispanic,dark,blonde,goatee,,,average,,51,52,51,52,50,49,48,49,48,52,0,0,0,0,0,0,0,0,0,0,0,68,65,74,67,50,0,0,49,77,66,0,0,0,0,0,0,0,0,0,0,0,70
D20290003,Basil,Gaver,R,R,RF,[],False,2011-11-17,75,208,Anglo,medium,brown,clean_shaven,,,balanced,,50,51,48,49,50,50,56,52,48,48,0,0,0,0,0,0,0,0,0,0,0,61,76,74,69,50,0,0,52,73,63,0,0,0,0,0,0,0,0,0,0,0,67
D20290004,Miguel,Perez,R,R,P,[],True,2011-02-07,74,243,Anglo,light,black,beard,RP,SP,,finesse_sp,0,0,0,0,51,57,46,0,49,50,52,50,52,51,51,59,58,53,53,0,0,0,0,0,0,0,0,0,0,74,75,79,72,66,73,68,82,70,80,71,0,0,59
D20290005,Woodrow,Kusumoto,L,R,P,[],True,2011-03-13,71,245,Anglo,medium,brown,clean_shaven,RP,SP,,finesse_sp,0,0,0,0,50,61,49,0,50,48,50,51,52,49,46,60,58,55,57,0,0,0,0,0,0,0,0,0,0,77,60,65,70,72,69,68,83,80,79,84,0,0,62
D20290006,Malik,Mitchell,R,R,P,[],True,2011-02-01,71,187,Anglo,light,brown,beard,RP,RP,,groundball_rp,0,0,0,0,50,46,47,0,51,52,50,51,52,50,51,0,0,53,62,0,0,0,0,0,0,0,0,0,0,70,76,80,78,75,68,74,0,0,72,86,0,0,62
D20290007,Darnell,Carter,L,L,P,[],True,2011-10-12,71,191,Anglo,light,brown,goatee,RP,SP,,workhorse_sp,0,0,0,0,51,54,56,0,51,50,49,50,52,48,52,60,0,60,0,0,0,0,0,0,0,0,0,0,0,61,66,63,71,72,61,69,82,0,87,0,0,0,62
D20290008,Omar,Garay,S,R,P,[],True,2011-09-09,74,245,Anglo,medium,brown,clean_shaven,RP,SP,,power_sp,0,0,0,0,48,56,47,0,52,48,49,52,52,51,49,57,61,59,56,0,0,0,0,0,0,0,0,0,0,77,67,70,64,69,64,69,81,84,69,77,0,0,61
D20290009,Manuel,Ortiz,R,R,P,[],True,2011-12-23,69,223,Anglo,light,brown,clean_shaven,RP,RP,,groundball_rp,0,0,0,0,48,46,49,0,50,50,52,51,52,51,50,0,53,57,58,0,0,0,0,0,0,0,0,0,0,65,65,67,72,77,66,62,0,67,67,79,0,0,66
D20290010,Ricardo,Vargas,L,L,RF,[],False,2011-11-10,75,161,Anglo,light,blonde,clean_shaven,,,balanced,,52,49,50,52,51,52,47,52,50,51,0,0,0,0,0,0,0,0,0,0,0,67,71,70,81,51,0,0,52,75,63,0,0,0,0,0,0,0,0,0,0,0,72
D20290011,Barney,Kuser,R,R,P,[],True,2011-06-11,75,164,Anglo,light,blonde,clean_shaven,RP,CL,,closer,0,0,0,0,55,47,47,0,52,52,49,52,52,48,52,0,0,65,0,0,0,0,0,0,0,0,0,0,0,75,68,79,66,67,73,71,0,0,82,0,0,0,58
D20290012,Antonia,Aleshire,R,R,1B,[],False,2011-06-28,71,168,Anglo,light,black,clean_shaven,,,average,,48,52,52,48,49,50,56,52,50,49,0,0,0,0,0,0,0,0,0,0,0,63,70,63,58,49,0,0,52,75,72,0,0,0,0,0,0,0,0,0,0,0,63
D20290013,Cedric,Gaines,S,R,RF,[],False,2011-02-11,69,214,Anglo,light,brown,beard,,,power,,51,61,49,50,51,52,48,48,48,48,0,0,0,0,0,0,0,0,0,0,0,79,77,67,76,51,0,0,48,66,60,0,0,0,0,0,0,0,0,0,0,0,72
D20290014,Percy,Jefferson,R,R,C,[],False,2011-08-07,70,185,Hispanic,light,red,clean_shaven,,,speed,,52,50,70,51,52,51,56,52,51,49,0,0,0,0,0,0,0,0,0,0,0,77,68,84,64,52,0,0,52,70,68,0,0,0,0,0,0,0,0,0,0,0,75
D20290015,Floyd,Lataquin,S,L,P,[],True,2011-05-18,73,233,Anglo,light,black,clean_shaven,RP,SP,,workhorse_sp,0,0,0,0,48,51,55,0,49,51,49,52,52,49,52,62,58,61,54,0,0,0,0,0,0,0,0,0,0,73,63,63,62,62,75,82,77,73,73,67,0,0,62
D20290016,Raymon,Schexnayder,R,R,LF,[],False,2011-04-25,77,244,Anglo,light,black,clean_shaven,,,average,,48,51,52,50,49,51,55,52,50,52,0,0,0,0,0,0,0,0,0,0,0,78,81,69,73,49,0,0,52,76,72,0,0,0,0,0,0,0,0,0,0,0,66
D20290017,Mel,Deckard,L,L,P,[],True,2011-06-14,76,202,Anglo,medium,blonde,clean_shaven,RP,RP,,finesse_rp,0,0,0,0,51,51,52,0,50,49,50,50,52,52,47,62,0,0,0,0,0,0,0,0,0,0,0,0,0,68,73,63,71,73,78,71,80,0,0,0,0,0,66
D20290018,Derrick,Ulich,L,R,RF,[],False,2011-10-03,70,186,Anglo,light,brown,goatee,,,power,,50,58,51,51,48,49,45,48,52,48,0,0,0,0,0,0,0,0,0,0,0,66,80,62,77,48,0,0,48,70,76,0,0,0,0,0,0,0,0,0,0,0,67
D20290019,Doyle,Camerena,R,R,C,[],False,2011-03-10,77,196,Anglo,light,red,clean_shaven,,,average,,48,49,51,48,51,48,55,50,51,49,0,0,0,0,0,0,0,0,0,0,0,76,64,67,63,51,0,0,50,72,71,0,0,0,0,0,0,0,0,0,0,0,72
D20290020,Jose,Delgado,R,R,SS,[],False,2011-03-10,70,173,Anglo,light,brown,clean_shaven,,,balanced,,51,52,51,50,51,52,55,52,49,51,0,0,0,0,0,0,0,0,0,0,0,79,77,68,72,51,0,0,52,79,79,0,0,0,0,0,0,0,0,0,0,0,61
D20290021,Lonnie,Kroell,L,L,P,[],True,2011-06-05,70,176,Anglo,dark,black,clean_shaven,RP,RP,,finesse_rp,0,0,0,0,52,50,54,0,52,48,51,50,52,50,49,58,61,0,0,0,0,0,0,0,0,0,0,0,0,64,62,62,69,79,78,67,88,75,0,0,0,0,60
D20290022,Woodrow,Kusumoto,R,R,SS,[],False,2011-03-21,74,197,Anglo,light,black,clean_shaven,,,average,,50,51,48,49,50,52,54,51,48,48,0,0,0,0,0,0,0,0,0,0,0,63,66,78,64,50,0,0,51,77,66,0,0,0,0,0,0,0,0,0,0,0,69
D20290023,Fernando,Ramirez,S,L,LF,[],False,2011-08-05,68,178,Anglo,light,black,clean_shaven,,,balanced,,50,48,52,50,49,48,52,50,52,48,0,0,0,0,0,0,0,0,0,0,0,61,70,65,74,49,0,0,50,79,78,0,0,0,0,0,0,0,0,0,0,0,77
D20290024,Leroy,Robinson,L,L,P,[],True,2011-07-25,78,226,Anglo,light,brown,clean_shaven,RP,SP,,groundball_sp,0,0,0,0,49,58,53,0,52,52,50,50,52,50,52,0,57,57,60,0,0,0,0,0,0,0,0,0,0,78,62,61,73,64,60,65,0,75,67,83,0,0,63
