player_id,first_name,last_name,bats,throws,primary_position,other_positions,is_pitcher,birthdate,height,weight,ethnicity,skin_tone,hair_color,facial_hair,role,preferred_pitching_role,hitter_archetype,pitcher_archetype,ch,ph,sp,eye,gf,pl,vl,sc,fa,arm,endurance,control,movement,hold_runner,fb,cu,cb,sl,si,scb,kn,pot_ch,pot_ph,pot_sp,pot_eye,pot_gf,pot_pl,pot_vl,pot_sc,pot_fa,pot_arm,pot_control,pot_movement,pot_endurance,pot_hold_runner,pot_fb,pot_cu,pot_cb,pot_sl,pot_si,pot_scb,pot_kn,durability
D20260001,Jamal,Gaines,R,R,P,[],True,2008-02-23,74,162,Hispanic,medium,brown,clean_shaven,RP,SP,,groundball_sp,0,0,0,0,51,65,46,0,49,49,49,50,52,50,50,0,56,54,60,0,0,0,0,0,0,0,0,0,0,64,68,63,62,67,66,70,0,79,73,76,0,0,63
D20260002,Deshawn,Carter,L,L,1B,[],False,2008-06-17,78,188,Anglo,light,brown,clean_shaven,,,balanced,,50,50,50,49,52,51,46,52,52,49,0,0,0,0,0,0,0,0,0,0,0,79,64,80,72,52,0,0,52,63,59,0,0,0,0,0,0,0,0,0,0,0,74
D20260003,Linwood,Huewe,R,R,P,[],True,2008-04-04,76,201,Hispanic,medium,blonde,clean_shaven,RP,SP,,power_sp,0,0,0,0,50,56,48,0,52,49,51,50,52,51,47,0,61,58,54,55,0,0,0,0,0,0,0,0,0,78,68,80,66,65,67,61,0,73,78,84,66,0,58
D20260004,Kendall,Buresh,R,R,2B,[],False,2008-12-14,69,245,Hispanic,light,black,goatee,,,spray,,63,52,52,50,51,51,54,52,52,48,0,0,0,0,0,0,0,0,0,0,0,85,70,69,72,51,0,0,52,62,59,0,0,0,0,0,0,0,0,0,0,0,71
D20260005,Jamal,Harris,R,R,P,[],True,2008-03-28,69,240,Anglo,medium,black,clean_shaven,RP,SP,,groundball_sp,0,0,0,0,50,50,46,0,49,48,52,50,52,48,48,55,0,57,61,0,0,0,0,0,0,0,0,0,0,63,67,79,63,76,78,77,73,0,81,78,0,0,59
D20260006,Fernando,Flores,R,R,P,[],True,2008-05-12,68,244,Hispanic,medium,black,clean_shaven,RP,RP,,power_rp,0,0,0,0,52,56,49,0,50,52,49,52,52,50,52,53,61,61,0,0,0,0,0,0,0,0,0,0,0,71,82,76,77,78,61,77,64,84,74,0,0,0,60
D20260007,Raul,Ramirez,R,R,P,[],True,2008-10-09,72,193,Anglo,light,red,beard,RP,SP,,finesse_sp,0,0,0,0,49,64,47,0,51,51,52,52,52,48,51,58,62,56,0,0,0,0,0,0,0,0,0,0,0,74,76,66,62,78,63,69,77,72,67,0,0,0,62
D20260008,Josh,Sund,R,R,P,[],True,2008-03-18,74,179,Anglo,light,brown,beard,RP,LR,,long_relief,0,0,0,0,49,54,48,0,49,50,52,50,52,48,50,59,59,62,0,0,0,0,0,0,0,0,0,0,0,67,73,79,65,73,62,76,88,73,76,0,0,0,56
D20260009,Lou,Schange,R,R,LF,[],False,2008-11-11,75,183,Anglo,light,brown,clean_shaven,,,balanced,,52,51,48,52,49,51,56,52,49,51,0,0,0,0,0,0,0,0,0,0,0,64,71,64,82,49,0,0,52,69,78,0,0,0,0,0,0,0,0,0,0,0,72
D20260010,Ricardo,Perez,L,R,LF,[],False,2008-05-07,72,162,Anglo,medium,black,clean_shaven,,,spray,,63,51,49,49,48,49,45,51,50,49,0,0,0,0,0,0,0,0,0,0,0,81,64,68,66,48,0,0,51,63,78,0,0,0,0,0,0,0,0,0,0,0,69
D20260011,Manuel,Ortiz,R,R,P,[],True,2008-12-13,72,221,Hispanic,medium,black,clean_shaven,RP,CL,,closer,0,0,0,0,50,59,47,0,48,48,51,50,52,48,49,0,55,65,0,0,0,0,0,0,0,0,0,0,0,62,59,72,67,76,73,79,0,76,79,0,0,0,62
