player_id,first_name,last_name,birthdate,height,weight,ethnicity,skin_tone,hair_color,facial_hair,bats,primary_position,other_positions,is_pitcher,role,preferred_pitching_role,ch,ph,sp,eye,gf,pl,vl,sc,fa,arm,endurance,control,movement,hold_runner,fb,cu,cb,sl,si,scb,kn,pot_ch,pot_ph,pot_sp,pot_eye,pot_gf,pot_pl,pot_vl,pot_sc,pot_fa,pot_arm,pot_control,pot_movement,pot_endurance,pot_hold_runner,pot_fb,pot_cu,pot_cb,pot_sl,pot_si,pot_scb,pot_kn,injured,injury_description,return_date,ready,injury_list,injury_start_date,injury_minimum_days,injury_eligible_date,injury_rehab_assignment,injury_rehab_days,durability,pitcher_archetype,hitter_archetype
P3673,Shad,Iseman,2002-08-12,68,184,Anglo,medium,black,clean_shaven,L,P,,1,RP,CL,,,,,55,,,,52,49,50,50,52,51,47,54,54,65,0,0,0,,,,,0,,,,62,60,61,60,62,60,60,61,61,70,0,0,0,False,,,0,,,,,,0,50,closer,
P3321,Sung,Liu,1987-06-16,74,196,Asian,light,brown,beard,R,P,,1,RP,RP,,,,,49,,,,48,50,51,50,52,50,50,61,62,0,0,0,0,,,,,0,,,,39,48,47,52,44,47,42,59,62,0,0,0,0,False,,,0,,,,,,0,50,finesse_rp,
P5597,Yong,Liu,1997-03-10,68,195,Asian,medium,black,clean_shaven,R,P,,1,RP,SP,,,,,52,,,,51,48,51,50,52,49,48,61,61,62,0,56,0,,,,,0,,,,52,53,51,50,50,44,44,56,60,57,0,58,0,False,,,0,,,,,,0,50,balanced_sp,
P3080,Fausto,Cummer,1988-01-27,73,243,Anglo,light,brown,clean_shaven,L,P,,1,RP,SP,,,,,51,,,,52,48,52,51,52,50,46,55,55,55,62,0,0,,,,,0,,,,49,38,41,42,47,47,40,53,53,52,52,0,0,False,,,0,,,,,,0,50,groundball_sp,
P3512,Sung,Khan,1990-03-23,77,215,Asian,light,black,clean_shaven,L,P,,1,RP,SP,,,,,52,,,,49,48,49,52,52,50,46,62,61,0,54,0,0,,,,,0,,,,41,39,42,44,43,50,40,62,51,0,49,0,0,False,,,0,,,,,,0,50,finesse_sp,
P7009,Malik,Jackson,1991-02-18,69,198,African,dark,brown,clean_shaven,R,P,,1,RP,SP,,,,,51,,,,48,52,49,50,52,52,53,60,59,57,0,53,0,,,,,0,,,,43,45,49,48,47,47,47,55,52,53,0,52,0,False,,,0,,,,,,0,50,finesse_sp,
P4847,Andy,Lafayette,1992-07-30,69,167,Anglo,medium,black,clean_shaven,R,P,,1,RP,SP,,,,,51,,,,49,52,48,50,52,52,50,59,59,0,0,0,0,,,,,0,,,,47,50,42,48,47,49,50,50,56,0,0,0,0,False,,,0,,,,,,0,50,balanced_sp,
P2530,Yong,Pham,1993-08-02,71,247,Asian,light,black,clean_shaven,R,P,,1,RP,CL,,,,,52,,,,49,51,52,50,52,48,52,55,56,65,0,0,0,,,,,0,,,,41,42,42,44,44,48,51,51,55,59,0,0,0,False,,,0,,,,,,0,50,closer,
P6599,Malik,Wright,1995-02-26,68,212,African,dark,black,goatee,L,P,,1,RP,CL,,,,,52,,,,49,50,49,52,52,52,50,57,53,65,0,0,0,,,,,0,,,,44,51,50,50,46,53,55,60,49,70,0,0,0,False,,,0,,,,,,0,50,closer,
P7635,Cedric,King,1988-03-03,76,186,African,dark,black,clean_shaven,S,P,,1,RP,SP,,,,,52,,,,50,49,48,50,52,51,47,58,62,62,0,57,0,,,,,0,,,,46,42,48,50,47,43,46,57,58,58,0,51,0,False,,,0,,,,,,0,50,balanced_sp,
