player_id,first_name,last_name,bats,throws,primary_position,other_positions,is_pitcher,birthdate,height,weight,ethnicity,skin_tone,hair_color,facial_hair,role,preferred_pitching_role,hitter_archetype,pitcher_archetype,ch,ph,sp,eye,gf,pl,vl,sc,fa,arm,endurance,control,movement,hold_runner,fb,cu,cb,sl,si,scb,kn,pot_ch,pot_ph,pot_sp,pot_eye,pot_gf,pot_pl,pot_vl,pot_sc,pot_fa,pot_arm,pot_control,pot_movement,pot_endurance,pot_hold_runner,pot_fb,pot_cu,pot_cb,pot_sl,pot_si,pot_scb,pot_kn,durability
D20270001,Cedric,Taylor,R,R,P,[],True,2009-07-03,73,187,Anglo,medium,brown,clean_shaven,RP,SP,,finesse_sp,0,0,0,0,51,59,50,0,52,50,51,50,52,49,52,62,62,0,54,0,0,0,0,0,0,0,0,0,0,66,73,72,72,76,74,82,77,82,0,78,0,0,61
D20270002,Parker,Lueck,L,L,P,[],True,2009-06-13,70,174,Hispanic,dark,black,goatee,RP,SP,,workhorse_sp,0,0,0,0,49,53,52,0,51,52,51,50,52,52,53,62,59,59,0,56,0,0,0,0,0,0,0,0,0,77,78,74,70,77,82,68,88,79,81,0,81,0,55
D20270003,Rufus,Harris,L,R,P,[],True,2009-10-12,69,206,Anglo,medium,blonde,beard,RP,LR,,long_relief,0,0,0,0,49,51,47,0,50,49,52,52,52,48,51,0,61,0,0,0,0,0,0,0,0,0,0,0,0,61,59,81,72,82,73,72,0,80,0,0,0,0,61
D20270004,Roberto,Delgado,R,R,3B,[],False,2009-06-10,76,167,Hispanic,medium,black,clean_shaven,,,power,,49,56,52,48,49,52,54,51,49,52,0,0,0,0,0,0,0,0,0,0,0,77,69,80,61,49,0,0,51,64,75,0,0,0,0,0,0,0,0,0,0,0,66
D20270005,Alexis,Gelbart,R,R,P,[],True,2009-04-09,78,168,Hispanic,medium,black,clean_shaven,RP,RP,,groundball_rp,0,0,0,0,48,51,49,0,52,49,50,50,52,49,47,53,57,0,59,0,0,0,0,0,0,0,0,0,0,70,78,77,69,66,63,59,66,73,0,89,0,0,61
D20270006,Arlie,Yozzo,R,R,P,[],True,2009-10-10,78,232,Anglo,light,brown,clean_shaven,RP,RP,,finesse_rp,0,0,0,0,48,57,49,0,49,49,52,51,52,49,50,0,59,0,0,0,0,0,0,0,0,0,0,0,0,67,70,78,73,74,60,61,0,83,0,0,0,0,64
D20270007,Raul,Martinez,R,R,P,[],True,2009-12-23,69,188,Anglo,light,blonde,clean_shaven,RP,SP,,power_sp,0,0,0,0,48,61,48,0,49,52,51,50,52,48,54,57,58,62,56,0,0,0,0,0,0,0,0,0,0,75,72,77,79,77,66,72,76,77,86,75,0,0,57
D20270008,Hugh,Duplessis,R,R,RF,[],False,2009-01-12,72,180,Anglo,medium,black,clean_shaven,,,balanced,,48,52,52,49,48,52,56,51,48,51,0,0,0,0,0,0,0,0,0,0,0,72,79,72,65,48,0,0,51,77,70,0,0,0,0,0,0,0,0,0,0,0,68
D20270009,Rufus,Walker,S,R,1B,[],False,2009-05-04,73,213,Anglo,medium,blonde,clean_shaven,,,balanced,,48,52,52,51,51,48,48,48,49,48,0,0,0,0,0,0,0,0,0,0,0,64,67,74,62,51,0,0,48,77,78,0,0,0,0,0,0,0,0,0,0,0,72
D20270010,Tyrone,Green,R,R,P,[],True,2009-02-02,72,188,Anglo,light,black,clean_shaven,RP,RP,,groundball_rp,0,0,0,0,51,53,48,0,52,49,51,51,52,51,51,53,0,0,60,0,0,0,0,0,0,0,0,0,0,74,60,80,74,72,76,62,67,0,0,85,0,0,60
D20270011,Lyman,Cabal,R,R,P,[],True,2009-12-16,68,183,Anglo,light,blonde,clean_shaven,RP,SP,,balanced_sp,0,0,0,0,49,48,48,0,49,49,52,50,52,48,49,61,61,61,0,0,0,0,0,0,0,0,0,0,0,69,70,60,64,80,70,77,81,86,85,0,0,0,64
D20270012,Antonio,Sanchez,S,R,CF,[],False,2009-06-09,73,168,Anglo,light,blonde,mustache,,,spray,,55,48,52,49,50,51,52,49,52,52,0,0,0,0,0,0,0,0,0,0,0,85,62,73,74,50,0,0,49,76,62,0,0,0,0,0,0,0,0,0,0,0,67
D20270013,Carlos,Delgado,S,R,SS,[],False,2009-05-11,74,181,Anglo,light,blonde,clean_shaven,,,speed,,51,50,70,51,52,49,49,50,52,51,0,0,0,0,0,0,0,0,0,0,0,63,65,90,62,52,0,0,50,82,64,0,0,0,0,0,0,0,0,0,0,0,69
D20270014,Dennis,Neighbors,L,L,LF,[],False,2009-10-18,72,210,Anglo,light,brown,mustache,,,average,,48,48,50,49,50,50,47,48,50,52,0,0,0,0,0,0,0,0,0,0,0,58,61,71,60,50,0,0,48,80,70,0,0,0,0,0,0,0,0,0,0,0,67
