player_id,first_name,last_name,bats,throws,primary_position,other_positions,is_pitcher,birthdate,height,weight,ethnicity,skin_tone,hair_color,facial_hair,role,preferred_pitching_role,hitter_archetype,pitcher_archetype,ch,ph,sp,eye,gf,pl,vl,sc,fa,arm,endurance,control,movement,hold_runner,fb,cu,cb,sl,si,scb,kn,pot_ch,pot_ph,pot_sp,pot_eye,pot_gf,pot_pl,pot_vl,pot_sc,pot_fa,pot_arm,pot_control,pot_movement,pot_endurance,pot_hold_runner,pot_fb,pot_cu,pot_cb,pot_sl,pot_si,pot_scb,pot_kn,durability
D20280001,Dana,Gazaway,R,R,P,[],True,2010-09-19,71,218,Anglo,light,blonde,clean_shaven,RP,SP,,balanced_sp,0,0,0,0,52,49,46,0,50,51,48,52,52,51,53,61,62,59,0,53,0,0,0,0,0,0,0,0,0,71,73,68,78,58,81,68,90,84,73,0,71,0,62
D20280002,Leo,Mahaley,L,L,1B,[],False,2010-02-06,69,167,Anglo,light,blonde,clean_shaven,,,balanced,,50,50,52,51,52,49,47,51,50,50,0,0,0,0,0,0,0,0,0,0,0,63,60,72,61,52,0,0,51,69,72,0,0,0,0,0,0,0,0,0,0,0,73
D20280003,Cordell,Panke,R,R,P,[],True,2010-03-23,68,163,Anglo,medium,black,mustache,RP,SP,,finesse_sp,0,0,0,0,50,54,50,0,51,52,49,52,52,48,51,58,58,0,0,0,0,0,0,0,0,0,0,0,0,75,79,75,80,64,62,77,83,79,0,0,0,0,58
D20280004,Miguel,Delgado,R,R,P,[],True,2010-01-12,75,194,Hispanic,medium,brown,clean_shaven,RP,SP,,power_sp,0,0,0,0,48,52,50,0,48,52,52,50,52,49,54,0,59,59,56,0,0,0,0,0,0,0,0,0,0,63,76,66,78,66,69,72,0,84,85,83,0,0,64
D20280005,Sung,Choi,S,L,1B,[],False,2010-03-26,78,237,Anglo,medium,brown,beard,,,spray,,56,48,50,52,52,50,48,50,49,49,0,0,0,0,0,0,0,0,0,0,0,82,62,74,72,52,0,0,50,60,59,0,0,0,0,0,0,0,0,0,0,0,66
D20280006,Antonio,Vasquez,L,L,P,[],True,2010-01-18,77,179,Anglo,medium,red,clean_shaven,RP,RP,,finesse_rp,0,0,0,0,52,56,56,0,48,50,48,52,52,52,50,58,58,0,0,0,0,0,0,0,0,0,0,0,0,66,70,69,68,77,79,67,84,78,0,0,0,0,59
D20280007,Russell,Read,R,R,SS,[],False,2010-01-17,71,188,Hispanic,medium,brown,clean_shaven,,,spray,,58,52,49,49,52,52,56,51,49,49,0,0,0,0,0,0,0,0,0,0,0,73,72,69,61,52,0,0,51,66,74,0,0,0,0,0,0,0,0,0,0,0,70
D20280008,Randolph,Mcmath,R,R,P,[],True,2010-06-08,69,173,Anglo,light,brown,clean_shaven,RP,CL,,closer,0,0,0,0,55,64,46,0,48,49,48,51,52,52,50,53,54,65,0,0,0,0,0,0,0,0,0,0,0,60,71,81,74,69,81,66,75,67,76,0,0,0,53
D20280009,Ricardo,Cruz,L,L,P,[],True,2010-02-11,73,163,Anglo,medium,black,clean_shaven,RP,SP,,power_sp,0,0,0,0,52,57,53,0,51,48,51,50,52,50,48,55,58,62,0,55,0,0,0,0,0,0,0,0,0,69,62,78,78,64,80,69,65,84,91,0,75,0,58
D20280010,Ricardo,Sanchez,L,L,P,[],True,2010-03-20,70,201,Anglo,light,black,mustache,RP,SP,,finesse_sp,0,0,0,0,50,44,52,0,48,51,48,50,52,49,50,58,58,0,0,0,0,0,0,0,0,0,0,0,0,66,62,75,73,62,78,69,79,70,0,0,0,0,55
D20280011,Bart,Hariri,R,R,P,[],True,2010-12-25,74,206,Anglo,light,brown,clean_shaven,RP,SP,,finesse_sp,0,0,0,0,48,55,47,0,49,51,49,50,52,51,51,61,61,54,56,0,0,0,0,0,0,0,0,0,0,77,67,80,75,59,78,78,79,81,79,83,0,0,62
D20280012,Francisco,Diaz,R,R,P,[],True,2010-03-19,76,201,Anglo,light,black,clean_shaven,RP,RP,,finesse_rp,0,0,0,0,48,42,49,0,48,52,48,50,52,50,54,0,61,0,0,0,0,0,0,0,0,0,0,0,0,69,64,75,80,60,70,81,0,75,0,0,0,0,58
D20280013,Malik,Baker,R,R,P,[],True,2010-09-16,77,201,Anglo,light,brown,clean_shaven,RP,RP,,finesse_rp,0,0,0,0,48,51,46,0,48,52,51,52,52,50,52,58,61,0,55,0,0,0,0,0,0,0,0,0,0,65,76,76,75,64,65,74,73,83,0,70,0,0,63
D20280014,Jim,Thompson,R,R,LF,[],False,2010-02-09,75,200,Anglo,light,blonde,mustache,,,average,,49,51,48,48,49,49,55,48,48,51,0,0,0,0,0,0,0,0,0,0,0,74,69,74,62,49,0,0,48,74,77,0,0,0,0,0,0,0,0,0,0,0,67
D20280015,Jermaine,Mitchell,R,R,3B,[],False,2010-12-02,76,224,Anglo,medium,red,clean_shaven,,,average,,51,49,51,51,48,50,53,48,51,51,0,0,0,0,0,0,0,0,0,0,0,65,79,64,79,48,0,0,48,63,63,0,0,0,0,0,0,0,0,0,0,0,75
D20280016,Raul,Martinez,S,R,C,[],False,2010-04-11,69,167,Anglo,light,red,beard,,,balanced,,48,49,51,49,50,50,49,52,52,52,0,0,0,0,0,0,0,0,0,0,0,58,68,72,78,50,0,0,52,70,78,0,0,0,0,0,0,0,0,0,0,0,69
D20280017,Lanny,Ennen,R,R,P,[],True,2010-08-21,71,224,Anglo,dark,brown,clean_shaven,RP,CL,,closer,0,0,0,0,55,59,49,0,48,51,50,52,52,51,52,55,0,65,0,0,0,0,0,0,0,0,0,0,0,71,70,63,62,66,79,72,68,0,94,0,0,0,65
D20280018,Rufus,Walker,L,L,P,[],True,2010-10-18,74,169,Anglo,light,red,goatee,RP,SP,,groundball_sp,0,0,0,0,50,61,55,0,51,52,50,50,52,50,53,57,54,0,60,0,0,0,0,0,0,0,0,0,0,68,77,66,78,60,74,80,69,71,0,84,0,0,67
D20280019,Francisco,Rodriguez,R,R,RF,[],False,2010-09-12,70,221,Hispanic,light,brown,clean_shaven,,,balanced,,51,51,52,50,51,51,56,48,52,52,0,0,0,0,0,0,0,0,0,0,0,65,73,67,63,51,0,0,48,67,80,0,0,0,0,0,0,0,0,0,0,0,69
D20280020,Clement,Odess,S,R,P,[],True,2010-03-08,75,228,Anglo,light,brown,mustache,RP,SP,,finesse_sp,0,0,0,0,49,50,48,0,50,50,48,52,52,48,52,58,62,0,54,0,0,0,0,0,0,0,0,0,0,61,70,79,80,75,64,63,69,92,0,75,0,0,59
D20280021,Cordell,Panke,R,R,P,[],True,2010-01-24,77,235,Anglo,light,red,clean_shaven,RP,RP,,groundball_rp,0,0,0,0,48,56,46,0,49,48,49,50,52,51,48,57,0,0,58,0,0,0,0,0,0,0,0,0,0,66,75,69,70,62,72,70,68,0,0,80,0,0,54
D20280022,Jamal,Jefferson,L,L,P,[],True,2010-01-15,71,221,Anglo,light,red,clean_shaven,RP,CL,,closer,0,0,0,0,55,40,52,0,49,49,48,50,52,48,51,57,54,65,0,0,0,0,0,0,0,0,0,0,0,60,59,68,71,63,58,62,67,68,89,0,0,0,55
D20280023,Alejandro,Gomez,R,R,P,[],True,2010-10-14,74,168,Anglo,medium,black,clean_shaven,RP,SP,,power_sp,0,0,0,0,50,64,48,0,48,52,51,52,52,52,54,0,62,61,57,54,0,0,0,0,0,0,0,0,0,60,62,62,64,69,67,68,0,92,91,83,78,0,68
D20280024,Darnell,Wright,L,R,P,[],True,2010-04-20,74,234,Hispanic,dark,black,mustache,RP,RP,,power_rp,0,0,0,0,51,50,49,0,48,52,49,50,52,52,52,0,62,62,0,0,0,0,0,0,0,0,0,0,0,66,76,76,65,78,65,70,0,86,83,0,0,0,65
D20280025,Rafael,Perez,R,R,C,[],False,2010-05-28,74,179,Anglo,medium,brown,clean_shaven,,,spray,,60,51,51,50,50,52,52,52,52,51,0,0,0,0,0,0,0,0,0,0,0,80,63,80,71,50,0,0,52,75,68,0,0,0,0,0,0,0,0,0,0,0,66
D20280026,Tyrone,Jefferson,L,R,RF,[],False,2010-01-25,68,188,Anglo,dark,brown,clean_shaven,,,average,,50,50,48,51,50,49,45,52,52,50,0,0,0,0,0,0,0,0,0,0,0,66,63,64,75,50,0,0,52,82,66,0,0,0,0,0,0,0,0,0,0,0,69
D20280027,Milton,Sinkiewicz,L,L,CF,[],False,2010-03-28,76,197,Anglo,light,brown,clean_shaven,,,spray,,61,49,52,49,52,48,45,52,52,52,0,0,0,0,0,0,0,0,0,0,0,71,79,76,78,52,0,0,52,76,79,0,0,0,0,0,0,0,0,0,0,0,67
D20280028,Don,Leaks,R,R,LF,[],False,2010-07-12,71,166,Anglo,medium,brown,goatee,,,balanced,,51,48,50,50,48,52,54,51,48,49,0,0,0,0,0,0,0,0,0,0,0,62,60,79,74,48,0,0,51,63,71,0,0,0,0,0,0,0,0,0,0,0,64
D20280029,Yong,Kim,S,L,1B,[],False,2010-08-11,78,221,Anglo,dark,brown,clean_shaven,,,power,,52,63,51,49,48,50,51,49,49,51,0,0,0,0,0,0,0,0,0,0,0,78,89,70,73,48,0,0,49,62,78,0,0,0,0,0,0,0,0,0,0,0,73
D20280030,Alejandro,Morales,L,R,SS,[],False,2010-12-01,75,164,Anglo,dark,brown,goatee,,,balanced,,51,49,49,51,48,51,44,48,51,48,0,0,0,0,0,0,0,0,0,0,0,61,67,61,75,48,0,0,48,76,59,0,0,0,0,0,0,0,0,0,0,0,70
D20280031,Shelton,Turziano,L,L,P,[],True,2010-02-02,69,206,Anglo,light,blonde,mustache,RP,RP,,finesse_rp,0,0,0,0,48,56,56,0,51,49,49,51,52,52,51,59,0,0,0,0,0,0,0,0,0,0,0,0,0,79,62,72,66,68,79,73,88,0,0,0,0,0,63
