player_id,first_name,last_name,birthdate,height,weight,ethnicity,skin_tone,hair_color,facial_hair,bats,primary_position,other_positions,is_pitcher,role,preferred_pitching_role,ch,ph,sp,eye,gf,pl,vl,sc,fa,arm,endurance,control,movement,hold_runner,fb,cu,cb,sl,si,scb,kn,pot_ch,pot_ph,pot_sp,pot_eye,pot_gf,pot_pl,pot_vl,pot_sc,pot_fa,pot_arm,pot_control,pot_movement,pot_endurance,pot_hold_runner,pot_fb,pot_cu,pot_cb,pot_sl,pot_si,pot_scb,pot_kn,injured,injury_description,return_date,ready,injury_list,injury_start_date,injury_minimum_days,injury_eligible_date,injury_rehab_assignment,injury_rehab_days,durability,pitcher_archetype,hitter_archetype
P9192,Alfred,Heitz,1993-04-26,72,179,Anglo,medium,black,clean_shaven,R,P,,1,RP,CL,,,,,55,,,,51,48,50,52,52,51,50,55,0,65,0,0,0,,,,,0,,,,47,38,42,52,46,42,40,45,0,63,0,0,0,False,,,0,,,,,,0,50,closer,
P3419,Darnell,Robinson,1992-08-06,72,174,African,dark,black,mustache,L,P,,1,RP,SP,,,,,49,,,,49,51,51,52,52,49,51,62,62,62,0,0,0,,,,,0,,,,49,51,51,44,49,47,44,61,61,62,0,0,0,False,,,0,,,,,,0,50,balanced_sp,
P6633,Ike,Neally,2000-01-31,72,209,Anglo,light,blonde,clean_shaven,L,P,,1,RP,SP,,,,,48,,,,48,49,49,51,52,50,51,0,60,60,0,0,0,,,,,0,,,,60,57,62,65,54,58,62,0,71,71,0,0,0,False,,,0,,,,,,0,50,balanced_sp,
P5528,Alejandro,Castillo,1998-06-03,71,162,Hispanic,light,brown,clean_shaven,R,P,,1,RP,RP,,,,,48,,,,50,51,52,50,52,50,52,0,60,58,0,56,0,,,,,0,,,,57,66,60,61,66,61,64,0,69,68,0,65,0,False,,,0,,,,,,0,50,power_rp,
P1024,Roberto,Perez,2003-11-08,76,220,Hispanic,medium,black,beard,L,P,,1,RP,SP,,,,,52,,,,51,51,51,52,52,48,51,59,58,61,57,0,0,,,,,0,,,,57,65,67,61,62,59,62,65,71,73,68,0,0,False,,,0,,,,,,0,50,workhorse_sp,
P3040,Sydney,Robinso,1987-12-17,77,248,Anglo,light,brown,mustache,L,P,,1,RP,SP,,,,,48,,,,49,50,50,50,52,50,49,60,58,54,0,0,0,,,,,0,,,,43,42,42,51,46,49,39,54,54,53,0,0,0,False,,,0,,,,,,0,50,finesse_sp,
P3018,Luis,Reyes,1998-12-22,68,234,Hispanic,medium,black,mustache,R,P,,1,RP,RP,,,,,49,,,,49,52,52,52,52,50,51,0,0,0,62,0,0,,,,,0,,,,59,66,62,63,59,65,59,0,0,0,68,0,0,False,,,0,,,,,,0,50,groundball_rp,
P9331,Rufus,Robinson,2002-01-24,76,165,African,dark,black,clean_shaven,L,P,,1,RP,CL,,,,,52,,,,52,49,49,50,52,49,47,0,0,65,0,0,0,,,,,0,,,,59,58,64,57,59,58,62,0,0,72,0,0,0,False,,,0,,,,,,0,50,closer,
P4200,Sung,Singh,1988-07-14,77,244,Asian,medium,black,mustache,L,P,,1,RP,SP,,,,,48,,,,51,48,48,51,52,49,48,59,58,0,0,0,0,,,,,0,,,,47,47,48,48,47,44,39,54,58,0,0,0,0,False,,,0,,,,,,0,50,finesse_sp,
P7348,Sung,Wang,2001-05-20,76,247,Asian,medium,black,clean_shaven,S,P,,1,RP,CL,,,,,51,,,,51,48,51,50,52,48,49,0,57,65,0,0,0,,,,,0,,,,58,61,63,65,65,53,55,0,65,76,0,0,0,False,,,0,,,,,,0,50,closer,
