player_id,first_name,last_name,bats,throws,primary_position,other_positions,is_pitcher,birthdate,height,weight,ethnicity,skin_tone,hair_color,facial_hair,role,preferred_pitching_role,hitter_archetype,pitcher_archetype,ch,ph,sp,eye,gf,pl,vl,sc,fa,arm,endurance,control,movement,hold_runner,fb,cu,cb,sl,si,scb,kn,pot_ch,pot_ph,pot_sp,pot_eye,pot_gf,pot_pl,pot_vl,pot_sc,pot_fa,pot_arm,pot_control,pot_movement,pot_endurance,pot_hold_runner,pot_fb,pot_cu,pot_cb,pot_sl,pot_si,pot_scb,pot_kn,durability
D20390001,Lawrence,Ptaszynski,R,R,P,[],True,2021-01-24,68,172,Unknown,medium,brown,clean_shaven,RP,RP,,finesse_rp,0,0,0,0,51,45,46,0,49,50,50,52,52,48,50,61,59,0,0,57,0,0,0,0,0,0,0,0,0,76,62,63,73,64,72,78,73,79,0,0,68,0,63
D20390002,Richard,Amadon,L,R,LF,['3B'],False,2021-09-23,75,199,Unknown,dark,black,clean_shaven,,,power,,50,62,51,51,51,49,47,51,49,50,0,0,0,0,0,0,0,0,0,0,0,79,86,71,75,51,0,0,51,74,80,0,0,0,0,0,0,0,0,0,0,0,64
D20390003,Luis,Guerrero,L,L,P,[],True,2021-05-03,78,242,Unknown,light,blonde,clean_shaven,RP,RP,,finesse_rp,0,0,0,0,48,35,55,0,48,48,51,50,52,51,46,0,60,0,0,0,0,0,0,0,0,0,0,0,0,75,58,80,79,64,63,71,0,83,0,0,0,0,56
D20390004,Damon,Bossick,R,R,1B,[],False,2021-10-08,78,231,Unknown,dark,brown,clean_shaven,,,gap,,49,52,51,50,48,48,52,48,48,49,0,0,0,0,0,0,0,0,0,0,0,79,79,79,63,48,0,0,48,66,76,0,0,0,0,0,0,0,0,0,0,0,67
D20390005,Percy,White,R,R,C,[],False,2021-06-28,69,198,Unknown,dark,brown,clean_shaven,,,balanced,,49,48,51,50,52,49,56,51,50,52,0,0,0,0,0,0,0,0,0,0,0,77,64,79,60,52,0,0,51,60,80,0,0,0,0,0,0,0,0,0,0,0,66
D20390006,Brenton,Harpel,R,R,SS,[],False,2021-01-21,78,186,Unknown,medium,black,clean_shaven,,,power,,51,57,51,50,48,50,56,50,51,52,0,0,0,0,0,0,0,0,0,0,0,70,73,71,63,48,0,0,50,74,69,0,0,0,0,0,0,0,0,0,0,0,69
D20390007,Chadwick,Tanski,R,L,P,[],True,2021-02-18,77,196,Unknown,light,black,clean_shaven,RP,SP,,groundball_sp,0,0,0,0,50,57,55,0,49,50,51,52,52,51,50,55,0,0,59,0,0,0,0,0,0,0,0,0,0,74,65,78,77,79,64,66,70,0,0,84,0,0,62
D20390008,Nickolas,Barcelona,L,L,P,[],True,2021-04-21,70,168,Unknown,light,brown,clean_shaven,RP,SP,,finesse_sp,0,0,0,0,48,53,55,0,50,49,51,52,52,50,51,59,62,0,55,56,0,0,0,0,0,0,0,0,0,78,71,79,78,73,76,78,72,76,0,85,77,0,61
D20390009,Xavier,Scott,R,R,P,[],True,2021-08-18,68,208,Unknown,dark,blonde,clean_shaven,RP,SP,,groundball_sp,0,0,0,0,48,58,50,0,49,48,48,50,52,49,48,0,57,56,59,0,0,0,0,0,0,0,0,0,0,76,58,66,70,71,68,70,0,68,82,86,0,0,66
D20390010,Jorge,Martinez,R,R,P,[],True,2021-01-07,68,223,Unknown,medium,blonde,clean_shaven,RP,RP,,groundball_rp,0,0,0,0,51,56,46,0,51,49,50,50,52,51,51,0,53,54,59,0,0,0,0,0,0,0,0,0,0,79,63,79,75,66,69,75,0,67,82,86,0,0,54
