player_id,first_name,last_name,bats,throws,primary_position,other_positions,is_pitcher,birthdate,height,weight,ethnicity,skin_tone,hair_color,facial_hair,role,preferred_pitching_role,hitter_archetype,pitcher_archetype,ch,ph,sp,eye,gf,pl,vl,sc,fa,arm,endurance,control,movement,hold_runner,fb,cu,cb,sl,si,scb,kn,pot_ch,pot_ph,pot_sp,pot_eye,pot_gf,pot_pl,pot_vl,pot_sc,pot_fa,pot_arm,pot_control,pot_movement,pot_endurance,pot_hold_runner,pot_fb,pot_cu,pot_cb,pot_sl,pot_si,pot_scb,pot_kn,durability
D20660001,Ignacio,Morber,L,R,P,[],True,2048-05-20,72,183,Unknown,medium,black,clean_shaven,RP,RP,,groundball_rp,0,0,0,0,52,50,47,0,48,51,49,50,52,50,50,55,55,0,59,0,0,0,0,0,0,0,0,0,0,65,71,64,63,67,67,62,78,65,0,85,0,0,57
D20660002,Alejandro,Sanchez,R,R,1B,[],False,2048-08-22,72,237,Unknown,medium,black,clean_shaven,,,power,,52,62,48,49,51,48,52,52,52,52,0,0,0,0,0,0,0,0,0,0,0,65,90,62,73,51,0,0,52,68,72,0,0,0,0,0,0,0,0,0,0,0,70
D20660003,Erin,Debow,R,R,P,[],True,2048-01-20,69,234,Unknown,light,black,clean_shaven,RP,SP,,balanced_sp,0,0,0,0,48,49,50,0,51,52,49,50,52,50,50,62,62,0,0,0,0,0,0,0,0,0,0,0,0,68,77,62,80,66,80,73,73,77,0,0,0,0,64
D20660004,Erin,Tencer,R,R,P,[],True,2048-07-18,73,233,Unknown,medium,brown,clean_shaven,RP,SP,,workhorse_sp,0,0,0,0,49,39,50,0,49,50,50,50,52,52,48,60,0,61,0,0,0,0,0,0,0,0,0,0,0,77,76,75,65,68,66,74,90,0,85,0,0,0,63
D20660005,Augustus,Suennen,R,R,2B,[],False,2048-11-08,68,174,Unknown,dark,black,clean_shaven,,,balanced,,51,52,49,52,48,49,53,48,50,48,0,0,0,0,0,0,0,0,0,0,0,81,79,70,69,48,0,0,48,72,76,0,0,0,0,0,0,0,0,0,0,0,69
D20660006,Ricardo,Ramirez,R,R,C,[],False,2048-10-04,73,229,Unknown,dark,brown,goatee,,,balanced,,52,51,52,50,50,48,52,52,49,52,0,0,0,0,0,0,0,0,0,0,0,68,79,66,66,50,0,0,52,74,65,0,0,0,0,0,0,0,0,0,0,0,72
D20660007,Lowell,Aguallo,R,R,C,[],False,2048-04-23,78,169,Unknown,light,brown,goatee,,,balanced,,51,52,52,52,52,50,52,49,52,52,0,0,0,0,0,0,0,0,0,0,0,80,69,68,82,52,0,0,49,69,64,0,0,0,0,0,0,0,0,0,0,0,72
D20660008,Antonio,Morales,L,L,1B,[],False,2048-06-11,73,174,Unknown,dark,black,clean_shaven,,,power,,48,60,50,48,50,50,45,50,52,50,0,0,0,0,0,0,0,0,0,0,0,73,83,63,65,50,0,0,50,63,76,0,0,0,0,0,0,0,0,0,0,0,70
D20660009,Jeremiah,Farley,R,R,P,[],True,2048-12-20,70,242,Unknown,medium,blonde,clean_shaven,RP,RP,,finesse_rp,0,0,0,0,52,52,46,0,48,52,51,51,52,50,52,59,60,0,0,0,0,0,0,0,0,0,0,0,0,70,77,70,70,80,74,74,81,76,0,0,0,0,68
D20660010,Yong,Le,L,L,P,[],True,2048-05-21,78,243,Unknown,light,brown,clean_shaven,RP,SP,,finesse_sp,0,0,0,0,48,51,54,0,48,48,50,50,52,52,46,61,59,0,0,0,0,0,0,0,0,0,0,0,0,78,61,64,63,60,68,69,71,88,0,0,0,0,63
D20660011,Jamal,Wright,R,R,RF,[],False,2048-03-05,74,197,Unknown,dark,brown,clean_shaven,,,average,,49,50,49,50,51,48,52,49,51,48,0,0,0,0,0,0,0,0,0,0,0,69,68,76,71,51,0,0,49,72,60,0,0,0,0,0,0,0,0,0,0,0,74
D20660012,Marcos,Hickinbotham,R,R,P,[],True,2048-07-27,71,216,Unknown,dark,black,clean_shaven,RP,SP,,finesse_sp,0,0,0,0,51,48,50,0,52,49,51,52,52,49,51,62,62,0,0,56,0,0,0,0,0,0,0,0,0,76,66,80,67,73,66,81,87,82,0,0,78,0,61
D20660013,Jamal,Harris,R,R,P,[],True,2048-08-06,76,177,Unknown,light,brown,clean_shaven,RP,SP,,power_sp,0,0,0,0,48,41,47,0,51,52,51,50,52,51,53,0,58,62,0,0,0,0,0,0,0,0,0,0,0,71,79,79,66,74,77,79,0,88,81,0,0,0,66
D20660014,Eduardo,Hernandez,R,R,C,[],False,2048-12-02,72,237,Unknown,medium,black,clean_shaven,,,spray,,61,50,50,50,52,48,52,48,51,48,0,0,0,0,0,0,0,0,0,0,0,91,62,75,65,52,0,0,48,78,65,0,0,0,0,0,0,0,0,0,0,0,76
