player_id,first_name,last_name,birthdate,height,weight,ethnicity,skin_tone,hair_color,facial_hair,bats,primary_position,other_positions,is_pitcher,role,preferred_pitching_role,ch,ph,sp,eye,gf,pl,vl,sc,fa,arm,endurance,control,movement,hold_runner,fb,cu,cb,sl,si,scb,kn,pot_ch,pot_ph,pot_sp,pot_eye,pot_gf,pot_pl,pot_vl,pot_sc,pot_fa,pot_arm,pot_control,pot_movement,pot_endurance,pot_hold_runner,pot_fb,pot_cu,pot_cb,pot_sl,pot_si,pot_scb,pot_kn,injured,injury_description,return_date,ready,injury_list,injury_start_date,injury_minimum_days,injury_eligible_date,injury_rehab_assignment,injury_rehab_days,durability,pitcher_archetype,hitter_archetype
P7928,Deshawn,Wright,1993-06-24,76,213,African,dark,black,beard,R,P,,1,RP,CL,,,,,55,,,,48,52,52,52,52,51,54,55,54,65,0,0,0,,,,,0,,,,48,49,52,51,47,42,44,46,44,56,0,0,0,False,,,0,,,,,,0,50,closer,
P5614,Deon,Bolieu,1997-02-11,72,163,Anglo,light,brown,clean_shaven,L,P,,1,RP,SP,,,,,52,,,,48,50,49,50,52,49,52,54,60,58,56,0,0,,,,,0,,,,47,47,46,55,50,51,49,49,64,57,61,0,0,False,,,0,,,,,,0,50,power_sp,
P3066,Pedro,Martinez,1992-09-05,69,203,Hispanic,light,brown,clean_shaven,L,P,,1,RP,RP,,,,,48,,,,48,49,50,50,52,50,48,0,62,0,0,0,0,,,,,0,,,,48,48,41,46,42,44,39,0,59,0,0,0,0,False,,,0,,,,,,0,50,power_rp,
P5749,Guadalupe,Worosz,1995-11-08,78,233,Anglo,light,black,clean_shaven,L,P,,1,RP,SP,,,,,50,,,,52,52,51,51,52,50,51,61,58,62,0,0,0,,,,,0,,,,57,52,46,52,52,48,46,61,63,66,0,0,0,False,,,0,,,,,,0,50,balanced_sp,
P5551,Tyrone,Taylor,2002-05-29,72,231,African,dark,black,mustache,R,P,,1,RP,RP,,,,,48,,,,48,49,51,52,52,51,49,0,0,61,0,0,0,,,,,0,,,,61,62,61,65,57,60,63,0,0,66,0,0,0,False,,,0,,,,,,0,50,power_rp,
P8666,Jamal,King,1995-11-14,77,191,African,dark,black,beard,S,P,,1,RP,SP,,,,,50,,,,48,52,51,52,52,50,50,54,0,0,61,0,0,,,,,0,,,,53,49,54,54,50,54,46,51,0,0,65,0,0,False,,,0,,,,,,0,50,groundball_sp,
P2998,Leroy,Baker,1994-04-07,71,227,African,dark,black,mustache,R,P,,1,RP,CL,,,,,48,,,,52,48,50,50,52,49,48,57,0,65,0,0,0,,,,,0,,,,54,50,50,49,50,45,46,58,0,68,0,0,0,False,,,0,,,,,,0,50,closer,
P6119,Sung,Pham,1995-02-24,76,202,Asian,medium,black,clean_shaven,R,P,,1,RP,SP,,,,,48,,,,52,48,50,50,52,48,47,58,60,58,0,0,0,,,,,0,,,,56,51,45,50,55,45,44,62,63,59,0,0,0,False,,,0,,,,,,0,50,workhorse_sp,
P2736,Manuel,Cruz,2001-07-05,75,175,Hispanic,medium,black,clean_shaven,S,P,,1,RP,RP,,,,,51,,,,51,51,49,51,52,48,53,56,53,0,59,0,0,,,,,0,,,,57,56,64,61,60,56,58,63,60,0,69,0,0,False,,,0,,,,,,0,50,groundball_rp,
P4712,Fernando,Reyes,1987-04-20,74,181,Hispanic,dark,brown,beard,R,P,,1,RP,SP,,,,,48,,,,50,50,48,50,52,49,48,56,55,56,62,0,0,,,,,0,,,,45,49,45,49,38,41,41,56,49,56,57,0,0,False,,,0,,,,,,0,50,groundball_sp,
P2750,Deshawn,Allen,1989-07-20,68,229,African,dark,brown,clean_shaven,R,P,,1,RP,SP,,,,,52,,,,50,50,52,50,52,49,52,62,59,62,0,0,0,,,,,0,,,,47,40,42,51,45,40,45,60,53,57,0,0,0,False,,,0,,,,,,0,50,workhorse_sp,
P3610,Rufus,Walker,1999-10-17,76,227,African,dark,black,clean_shaven,R,C,,0,,,52,60,48,49,50,49,54,49,52,48,,,,,,,,,,,,67,70,55,54,50,0,0,49,57,57,,,,,,,,,,,,False,,,0,,,,,,0,50,,power
P5491,Malik,Allen,1989-12-09,74,230,African,dark,black,mustache,L,1B,,0,,,48,49,48,51,48,50,48,49,48,49,,,,,,,,,,,,38,41,41,44,48,0,0,49,40,48,,,,,,,,,,,,False,,,0,,,,,,0,50,,average
P5848,Pedro,Hernandez,1989-03-03,74,229,Hispanic,medium,black,beard,R,2B,,0,,,50,49,70,49,49,52,56,49,52,51,,,,,,,,,,,,46,48,65,47,49,0,0,49,47,43,,,,,,,,,,,,False,,,0,,,,,,0,50,,speed
P3703,Jose,Vasquez,1997-10-15,71,171,Hispanic,medium,brown,mustache,R,3B,,0,,,52,58,50,52,49,52,53,48,50,50,,,,,,,,,,,,52,58,47,48,49,0,0,48,46,49,,,,,,,,,,,,False,,,0,,,,,,0,50,,power
P8754,Russell,Read,1989-01-28,77,170,Anglo,light,brown,clean_shaven,R,SS,,0,,,50,48,52,51,51,51,53,50,51,52,,,,,,,,,,,,49,41,51,47,51,0,0,50,49,48,,,,,,,,,,,,False,,,0,,,,,,0,50,,balanced
P3038,Miguel,Diaz,2004-06-02,76,180,Hispanic,medium,black,clean_shaven,R,LF,,0,,,49,48,51,48,51,48,56,51,51,51,,,,,,,,,,,,78,69,65,58,51,0,0,51,81,62,,,,,,,,,,,,False,,,0,,,,,,0,50,,average
P7097,Sung,Singh,1991-12-06,76,194,Asian,medium,brown,clean_shaven,L,CF,,0,,,63,52,50,49,52,50,44,49,50,49,,,,,,,,,,,,61,42,42,47,52,0,0,49,49,43,,,,,,,,,,,,False,,,0,,,,,,0,50,,spray
P9665,Cordell,Terzo,1989-04-24,77,168,Anglo,light,brown,beard,R,RF,,0,,,49,50,51,51,48,48,54,51,52,51,,,,,,,,,,,,48,49,43,45,48,0,0,51,44,48,,,,,,,,,,,,False,,,0,,,,,,0,50,,balanced
P8907,Alejandro,Rivera,1995-01-31,73,178,Hispanic,medium,black,clean_shaven,L,3B,,0,,,49,48,49,51,48,51,46,51,48,50,,,,,,,,,,,,46,47,48,48,48,0,0,51,48,48,,,,,,,,,,,,False,,,0,,,,,,0,50,,average
P6679,Sung,Yamamoto,1993-10-12,74,203,Asian,dark,black,clean_shaven,R,C,,0,,,50,62,51,49,51,52,53,52,49,48,,,,,,,,,,,,43,53,49,46,51,0,0,52,49,40,,,,,,,,,,,,False,,,0,,,,,,0,50,,power
P9722,Juan,Gomez,1992-05-30,73,196,Hispanic,dark,black,clean_shaven,L,CF,,0,,,52,52,48,50,51,50,45,49,49,49,,,,,,,,,,,,50,51,45,41,51,0,0,49,49,47,,,,,,,,,,,,False,,,0,,,,,,0,50,,balanced
P8681,Fernando,Garcia,1995-11-15,77,172,Hispanic,light,blonde,clean_shaven,R,SS,,0,,,49,50,70,50,52,49,52,49,49,49,,,,,,,,,,,,51,53,67,52,52,0,0,49,44,47,,,,,,,,,,,,False,,,0,,,,,,0,50,,speed
P3556,Carlos,Ramos,1992-01-26,70,237,Hispanic,medium,black,clean_shaven,R,SS,,0,,,51,49,49,52,49,49,52,49,50,52,,,,,,,,,,,,51,44,44,51,49,0,0,49,41,52,,,,,,,,,,,,False,,,0,,,,,,0,50,,gap
P8030,Eduardo,Castillo,1987-11-19,73,193,Hispanic,medium,blonde,clean_shaven,R,RF,,0,,,49,49,70,48,48,52,53,51,52,49,,,,,,,,,,,,49,48,60,46,48,0,0,51,44,47,,,,,,,,,,,,False,,,0,,,,,,0,50,,speed
P1468,Francesco,Camferdam,1989-03-29,73,219,Anglo,medium,black,beard,R,P,,1,RP,CL,,,,,55,,,,52,52,49,51,52,48,51,54,56,65,0,0,0,,,,,0,,,,46,44,45,51,48,44,50,54,56,55,0,0,0,False,,,0,,,,,,0,50,closer,
P3909,Donovan,Chanthasene,1990-06-01,75,192,Anglo,light,black,clean_shaven,L,P,,1,RP,SP,,,,,49,,,,49,50,50,51,52,48,52,0,62,58,0,0,0,,,,,0,,,,39,43,42,48,49,45,51,0,53,54,0,0,0,False,,,0,,,,,,0,50,workhorse_sp,
P5475,Fernando,Ramirez,2001-10-06,76,215,Hispanic,light,blonde,goatee,L,P,,1,RP,SP,,,,,52,,,,49,52,48,51,52,51,54,53,0,54,58,0,0,,,,,0,,,,56,64,60,60,59,57,68,65,0,65,70,0,0,False,,,0,,,,,,0,50,groundball_sp,
P8473,Shon,Stuck,2003-12-28,68,248,Anglo,dark,black,goatee,R,P,,1,RP,SP,,,,,52,,,,49,49,52,51,52,48,48,55,57,0,61,0,0,,,,,0,,,,62,63,61,59,63,53,57,64,64,0,75,0,0,False,,,0,,,,,,0,50,groundball_sp,
P7827,Yong,Singh,1994-10-03,68,197,Asian,medium,black,clean_shaven,L,P,,1,RP,SP,,,,,52,,,,50,51,50,52,52,52,50,59,61,0,56,55,0,,,,,0,,,,51,47,55,49,53,52,45,64,64,0,51,51,0,False,,,0,,,,,,0,50,finesse_sp,
P3985,Malik,Walker,2000-01-07,74,211,African,dark,black,clean_shaven,R,P,,1,RP,SP,,,,,50,,,,52,49,50,52,52,48,47,60,62,61,0,0,0,,,,,0,,,,61,61,64,61,55,61,56,75,73,70,0,0,0,False,,,0,,,,,,0,50,balanced_sp,
P2064,Rufus,Robinson,2000-08-30,73,201,African,dark,black,clean_shaven,L,P,,1,RP,SP,,,,,50,,,,48,51,51,51,52,52,50,0,60,59,54,55,0,,,,,0,,,,56,59,60,65,63,57,60,0,66,68,69,66,0,False,,,0,,,,,,0,50,power_sp,
P4651,Darnell,Scott,1991-03-12,72,246,African,dark,black,clean_shaven,S,3B,,0,,,70,50,51,51,50,48,52,50,51,50,,,,,,,,,,,,68,46,51,44,50,0,0,50,43,44,,,,,,,,,,,,False,,,0,,,,,,0,50,,spray
P2140,Randell,Larochelle,1996-12-15,68,202,Anglo,light,brown,clean_shaven,L,2B,,0,,,48,48,85,49,50,52,44,52,50,50,,,,,,,,,,,,44,47,84,51,50,0,0,52,47,49,,,,,,,,,,,,False,,,0,,,,,,0,50,,elite_speed
P7502,Yong,Le,1995-11-29,72,227,Asian,light,black,clean_shaven,L,1B,,0,,,52,63,52,51,51,49,46,51,51,51,,,,,,,,,,,,50,59,47,50,51,0,0,51,56,52,,,,,,,,,,,,False,,,0,,,,,,0,50,,power
P7958,Jamal,Jackson,2001-03-09,76,180,African,dark,black,clean_shaven,R,LF,,0,,,49,52,70,49,51,51,53,52,52,52,,,,,,,,,,,,62,64,82,64,51,0,0,52,65,62,,,,,,,,,,,,False,,,0,,,,,,0,50,,speed
P6063,Alejandro,Gomez,1989-01-24,76,161,Hispanic,light,red,beard,R,LF,3B,0,,,49,57,49,51,50,52,53,51,51,51,,,,,,,,,,,,45,54,44,45,50,0,0,51,49,49,,,,,,,,,,,,False,,,0,,,,,,0,50,,power
P3870,Leroy,Jackson,1992-10-09,77,173,African,dark,black,beard,R,1B,,0,,,50,48,49,49,48,52,52,52,49,49,,,,,,,,,,,,49,38,39,47,48,0,0,52,49,39,,,,,,,,,,,,False,,,0,,,,,,0,50,,gap
P6400,Yong,Nguyen,1990-02-23,77,178,Asian,medium,black,clean_shaven,L,1B,,0,,,50,62,52,49,50,48,45,52,49,48,,,,,,,,,,,,45,60,51,49,50,0,0,52,39,40,,,,,,,,,,,,False,,,0,,,,,,0,50,,power
P8615,Yong,Yamamoto,1989-01-25,71,225,Asian,dark,black,clean_shaven,R,C,,0,,,52,51,50,51,52,48,53,48,51,52,,,,,,,,,,,,45,47,49,45,52,0,0,48,49,51,,,,,,,,,,,,False,,,0,,,,,,0,50,,average
