player_id,first_name,last_name,bats,throws,primary_position,other_positions,is_pitcher,birthdate,height,weight,ethnicity,skin_tone,hair_color,facial_hair,role,preferred_pitching_role,hitter_archetype,pitcher_archetype,ch,ph,sp,eye,gf,pl,vl,sc,fa,arm,endurance,control,movement,hold_runner,fb,cu,cb,sl,si,scb,kn,pot_ch,pot_ph,pot_sp,pot_eye,pot_gf,pot_pl,pot_vl,pot_sc,pot_fa,pot_arm,pot_control,pot_movement,pot_endurance,pot_hold_runner,pot_fb,pot_cu,pot_cb,pot_sl,pot_si,pot_scb,pot_kn,durability
D20250001,Titus,Sandler,R,R,SS,[],False,2007-06-18,75,200,Hispanic,medium,brown,goatee,,,spray,,57,50,51,52,52,48,53,51,52,50,0,0,0,0,0,0,0,0,0,0,0,69,77,74,70,52,0,0,51,63,65,0,0,0,0,0,0,0,0,0,0,0,71
D20250002,Rafael,Gonzalez,S,L,CF,[],False,2007-01-10,77,229,Anglo,light,blonde,clean_shaven,,,balanced,,48,51,52,51,49,49,52,49,48,52,0,0,0,0,0,0,0,0,0,0,0,78,67,81,69,49,0,0,49,77,71,0,0,0,0,0,0,0,0,0,0,0,65
D20250003,Manuel,Torres,L,L,P,[],True,2007-04-03,74,214,Anglo,dark,black,goatee,RP,SP,,balanced_sp,0,0,0,0,52,48,52,0,50,49,50,50,52,51,49,62,58,58,0,55,0,0,0,0,0,0,0,0,0,64,68,62,73,74,64,79,75,85,72,0,85,0,55
D20250004,Rufus,Jefferson,R,R,2B,[],False,2007-02-26,72,244,Hispanic,medium,blonde,clean_shaven,,,speed,,49,48,70,50,48,49,55,52,49,52,0,0,0,0,0,0,0,0,0,0,0,70,63,83,62,48,0,0,52,65,78,0,0,0,0,0,0,0,0,0,0,0,77
D20250005,Alfonzo,Mazzoni,L,R,RF,[],False,2007-06-03,69,161,Anglo,light,black,mustache,,,average,,51,52,48,51,50,52,48,49,50,49,0,0,0,0,0,0,0,0,0,0,0,75,70,61,80,50,0,0,49,69,59,0,0,0,0,0,0,0,0,0,0,0,66
D20250006,Jamel,Schofell,R,R,C,[],False,2007-10-16,77,226,Anglo,medium,black,clean_shaven,,,speed,,49,52,70,50,51,51,56,52,51,51,0,0,0,0,0,0,0,0,0,0,0,63,68,95,78,51,0,0,52,66,77,0,0,0,0,0,0,0,0,0,0,0,69
D20250007,Rodger,Sadan,R,R,C,[],False,2007-11-11,73,244,African,dark,black,clean_shaven,,,average,,50,48,48,51,51,52,52,49,52,48,0,0,0,0,0,0,0,0,0,0,0,70,67,66,77,51,0,0,49,75,73,0,0,0,0,0,0,0,0,0,0,0,65
D20250008,Raymond,Fischbein,R,R,P,[],True,2007-07-25,68,202,Hispanic,medium,black,clean_shaven,RP,SP,,groundball_sp,0,0,0,0,50,63,46,0,51,50,50,50,52,50,49,57,0,53,62,0,0,0,0,0,0,0,0,0,0,66,73,60,78,64,80,70,70,0,73,88,0,0,60
D20250009,Bryon,Willmann,R,R,SS,[],False,2007-12-17,71,232,Hispanic,dark,brown,clean_shaven,,,average,,49,52,48,50,48,50,52,49,50,49,0,0,0,0,0,0,0,0,0,0,0,74,64,64,78,48,0,0,49,61,74,0,0,0,0,0,0,0,0,0,0,0,75
D20250010,Manuel,Vargas,R,R,3B,[],False,2007-04-08,70,203,Hispanic,medium,brown,mustache,,,balanced,,49,48,48,51,49,49,52,48,48,48,0,0,0,0,0,0,0,0,0,0,0,74,58,76,75,49,0,0,48,77,65,0,0,0,0,0,0,0,0,0,0,0,62
D20250011,Luis,Delgado,R,R,SS,[],False,2007-04-04,70,206,Anglo,light,red,clean_shaven,,,average,,49,52,48,49,50,52,53,49,49,48,0,0,0,0,0,0,0,0,0,0,0,76,68,74,74,50,0,0,49,74,69,0,0,0,0,0,0,0,0,0,0,0,66
