player_id,first_name,last_name,bats,throws,primary_position,other_positions,is_pitcher,birthdate,height,weight,ethnicity,skin_tone,hair_color,facial_hair,role,preferred_pitching_role,hitter_archetype,pitcher_archetype,ch,ph,sp,eye,gf,pl,vl,sc,fa,arm,endurance,control,movement,hold_runner,fb,cu,cb,sl,si,scb,kn,pot_ch,pot_ph,pot_sp,pot_eye,pot_gf,pot_pl,pot_vl,pot_sc,pot_fa,pot_arm,pot_control,pot_movement,pot_endurance,pot_hold_runner,pot_fb,pot_cu,pot_cb,pot_sl,pot_si,pot_scb,pot_kn,durability
D20390001,Deshawn,White,R,R,3B,[],False,2021-02-17,76,162,Unknown,dark,brown,beard,,,power,,50,57,49,50,49,48,53,48,48,49,0,0,0,0,0,0,0,0,0,0,0,65,85,74,62,49,0,0,48,70,77,0,0,0,0,0,0,0,0,0,0,0,59
D20390002,Cordell,Terzo,L,L,1B,[],False,2021-04-11,74,187,Unknown,medium,black,goatee,,,balanced,,52,48,48,49,50,51,48,50,52,52,0,0,0,0,0,0,0,0,0,0,0,64,67,70,69,50,0,0,50,80,67,0,0,0,0,0,0,0,0,0,0,0,66
D20390003,Miguel,Reyes,R,R,1B,['LF'],False,2021-04-04,74,223,Unknown,dark,brown,goatee,,,power,,51,58,48,49,50,48,52,50,50,52,0,0,0,0,0,0,0,0,0,0,0,68,86,77,67,50,0,0,50,62,66,0,0,0,0,0,0,0,0,0,0,0,64
D20390004,Alejandro,Ortiz,L,L,1B,[],False,2021-11-23,71,167,Unknown,medium,brown,clean_shaven,,,spray,,59,49,48,51,52,49,47,51,49,51,0,0,0,0,0,0,0,0,0,0,0,81,67,63,68,52,0,0,51,66,77,0,0,0,0,0,0,0,0,0,0,0,72
D20390005,Cesar,Lytal,S,R,P,[],True,2021-06-26,69,181,Unknown,medium,red,clean_shaven,RP,RP,,power_rp,0,0,0,0,48,60,48,0,51,50,51,51,52,51,49,0,62,58,56,0,0,0,0,0,0,0,0,0,0,70,75,68,68,70,73,71,0,74,74,68,0,0,62
D20390006,Manuel,Lopez,R,R,P,[],True,2021-12-27,72,193,Unknown,medium,black,clean_shaven,RP,SP,,finesse_sp,0,0,0,0,51,52,46,0,51,50,48,50,52,52,50,58,62,0,0,0,0,0,0,0,0,0,0,0,0,80,77,64,62,72,63,72,80,73,0,0,0,0,67
D20390007,Lance,Jastremski,R,R,P,[],True,2021-04-19,72,190,Unknown,light,black,mustache,RP,CL,,closer,0,0,0,0,55,53,48,0,51,51,50,50,52,49,52,0,0,65,0,0,0,0,0,0,0,0,0,0,0,69,78,74,71,78,73,81,0,0,84,0,0,0,59
D20390008,Boyce,Varcoe,R,R,P,[],True,2021-04-17,74,181,Unknown,dark,black,clean_shaven,RP,RP,,power_rp,0,0,0,0,52,47,46,0,52,52,50,51,52,48,52,0,58,0,0,0,0,0,0,0,0,0,0,0,0,73,75,77,82,64,64,65,0,79,0,0,0,0,57
D20390009,Rafael,Lopez,S,L,P,[],True,2021-09-23,77,215,Unknown,light,black,goatee,RP,RP,,groundball_rp,0,0,0,0,49,54,56,0,52,51,51,50,52,49,50,0,0,0,58,0,0,0,0,0,0,0,0,0,0,79,74,79,82,64,76,63,0,0,0,74,0,0,68
D20390010,Rafael,Lopez,S,R,P,[],True,2021-03-27,74,171,Unknown,dark,brown,clean_shaven,RP,SP,,finesse_sp,0,0,0,0,49,50,48,0,48,52,48,51,52,52,53,58,61,0,0,0,0,0,0,0,0,0,0,0,0,67,69,67,65,73,71,74,83,82,0,0,0,0,62
