player_id,first_name,last_name,bats,throws,primary_position,other_positions,is_pitcher,birthdate,height,weight,ethnicity,skin_tone,hair_color,facial_hair,role,preferred_pitching_role,hitter_archetype,pitcher_archetype,ch,ph,sp,eye,gf,pl,vl,sc,fa,arm,endurance,control,movement,hold_runner,fb,cu,cb,sl,si,scb,kn,pot_ch,pot_ph,pot_sp,pot_eye,pot_gf,pot_pl,pot_vl,pot_sc,pot_fa,pot_arm,pot_control,pot_movement,pot_endurance,pot_hold_runner,pot_fb,pot_cu,pot_cb,pot_sl,pot_si,pot_scb,pot_kn,durability
D20300001,Lynwood,Iglehart,L,R,P,[],True,2012-05-24,76,240,Hispanic,light,blonde,goatee,RP,RP,,finesse_rp,0,0,0,0,48,57,50,0,49,52,51,50,52,52,54,62,62,0,0,0,0,0,0,0,0,0,0,0,0,75,74,74,82,65,64,70,92,83,0,0,0,0,58
D20300002,Jamal,Washington,R,R,RF,[],False,2012-02-27,68,237,Anglo,light,black,beard,,,balanced,,50,48,49,51,49,48,55,48,48,50,0,0,0,0,0,0,0,0,0,0,0,78,63,69,71,49,0,0,48,67,63,0,0,0,0,0,0,0,0,0,0,0,69
D20300003,Trevor,Kientzy,R,R,3B,[],False,2012-04-01,68,229,Anglo,light,brown,goatee,,,average,,52,48,49,50,50,52,54,50,49,52,0,0,0,0,0,0,0,0,0,0,0,76,72,77,61,50,0,0,50,78,68,0,0,0,0,0,0,0,0,0,0,0,74
D20300004,Rufus,Robinson,R,R,SS,[],False,2012-02-15,76,206,Anglo,light,black,clean_shaven,,,average,,49,48,48,50,52,50,56,52,50,51,0,0,0,0,0,0,0,0,0,0,0,61,76,63,68,52,0,0,52,74,72,0,0,0,0,0,0,0,0,0,0,0,59
D20300005,Eduardo,Vasquez,R,R,LF,[],False,2012-05-13,77,236,Anglo,medium,blonde,clean_shaven,,,balanced,,50,48,50,50,51,49,53,48,52,50,0,0,0,0,0,0,0,0,0,0,0,66,59,75,66,51,0,0,48,75,70,0,0,0,0,0,0,0,0,0,0,0,72
D20300006,Jose,Ramirez,R,R,SS,[],False,2012-06-17,78,234,Hispanic,light,black,clean_shaven,,,average,,49,50,50,51,48,51,53,50,52,52,0,0,0,0,0,0,0,0,0,0,0,77,62,74,66,48,0,0,50,67,82,0,0,0,0,0,0,0,0,0,0,0,66
D20300007,Yong,Singh,R,R,P,[],True,2012-02-06,77,168,Anglo,light,blonde,clean_shaven,RP,SP,,finesse_sp,0,0,0,0,49,42,48,0,50,48,50,51,52,49,47,60,61,0,0,53,0,0,0,0,0,0,0,0,0,67,70,68,73,76,79,71,90,82,0,0,74,0,63
D20300008,Gonzalo,Jacklin,R,R,2B,[],False,2012-02-16,70,246,Anglo,medium,blonde,clean_shaven,,,balanced,,48,50,50,49,48,50,56,51,51,48,0,0,0,0,0,0,0,0,0,0,0,62,79,79,69,48,0,0,51,72,76,0,0,0,0,0,0,0,0,0,0,0,65
D20300009,Sung,Lin,R,R,SS,[],False,2012-02-04,69,243,Anglo,medium,brown,clean_shaven,,,spray,,70,50,52,50,51,48,54,50,51,51,0,0,0,0,0,0,0,0,0,0,0,94,64,81,75,51,0,0,50,73,74,0,0,0,0,0,0,0,0,0,0,0,68
D20300010,Silas,Layell,L,R,P,[],True,2012-11-03,71,235,Anglo,light,brown,goatee,RP,SP,,workhorse_sp,0,0,0,0,52,55,48,0,51,49,49,50,52,51,51,0,62,60,0,0,0,0,0,0,0,0,0,0,0,63,59,65,65,61,81,74,0,75,79,0,0,0,64
D20300011,Jesus,Mahi,R,R,C,[],False,2012-02-25,77,202,Anglo,light,brown,clean_shaven,,,gap,,52,49,51,51,51,51,56,50,51,51,0,0,0,0,0,0,0,0,0,0,0,72,59,79,62,51,0,0,50,64,80,0,0,0,0,0,0,0,0,0,0,0,75
D20300012,Malik,Harris,R,R,SS,[],False,2012-03-21,73,201,Anglo,light,blonde,goatee,,,spray,,61,50,50,50,50,51,55,49,50,49,0,0,0,0,0,0,0,0,0,0,0,71,74,72,80,50,0,0,49,62,79,0,0,0,0,0,0,0,0,0,0,0,67
D20300013,Jerome,Lorance,R,R,SS,[],False,2012-11-17,73,243,Anglo,dark,brown,mustache,,,average,,48,49,48,50,52,49,56,51,52,52,0,0,0,0,0,0,0,0,0,0,0,77,63,60,75,52,0,0,51,81,63,0,0,0,0,0,0,0,0,0,0,0,65
D20300014,Jean,Goings,S,R,LF,[],False,2012-03-17,70,244,Anglo,medium,black,clean_shaven,,,average,,51,52,51,49,50,49,50,52,48,51,0,0,0,0,0,0,0,0,0,0,0,63,68,67,72,50,0,0,52,74,63,0,0,0,0,0,0,0,0,0,0,0,68
D20300015,Yong,Khan,R,R,P,[],True,2012-09-23,74,175,Anglo,light,blonde,clean_shaven,RP,SP,,power_sp,0,0,0,0,51,57,50,0,52,52,49,50,52,50,51,54,60,60,0,55,0,0,0,0,0,0,0,0,0,75,78,74,63,65,60,70,72,88,75,0,66,0,60
D20300016,Leroy,Scott,R,R,1B,[],False,2012-05-16,71,166,Anglo,dark,brown,clean_shaven,,,gap,,51,49,50,52,49,52,56,48,52,50,0,0,0,0,0,0,0,0,0,0,0,62,72,68,71,49,0,0,48,71,67,0,0,0,0,0,0,0,0,0,0,0,73
D20300017,Sung,Li,R,R,C,[],False,2012-02-09,75,212,Anglo,light,brown,clean_shaven,,,spray,,57,50,51,51,51,52,54,50,50,48,0,0,0,0,0,0,0,0,0,0,0,77,61,70,69,51,0,0,50,68,75,0,0,0,0,0,0,0,0,0,0,0,67
D20300018,Jermaine,Harris,L,L,RF,[],False,2012-10-15,69,226,Anglo,light,red,clean_shaven,,,average,,49,50,51,50,50,50,45,51,48,49,0,0,0,0,0,0,0,0,0,0,0,72,68,78,69,50,0,0,51,73,76,0,0,0,0,0,0,0,0,0,0,0,76
D20300019,Rueben,Guderjahn,L,R,SS,[],False,2012-09-07,68,192,Anglo,light,blonde,clean_shaven,,,speed,,50,50,70,49,52,51,48,52,51,52,0,0,0,0,0,0,0,0,0,0,0,69,77,98,75,52,0,0,52,69,71,0,0,0,0,0,0,0,0,0,0,0,72
D20300020,Randell,Larochelle,R,R,LF,[],False,2012-07-10,76,223,Anglo,light,brown,clean_shaven,,,balanced,,48,50,49,51,51,49,52,50,51,52,0,0,0,0,0,0,0,0,0,0,0,77,75,69,78,51,0,0,50,79,67,0,0,0,0,0,0,0,0,0,0,0,62
D20300021,Jeffry,Dovey,R,R,P,[],True,2012-01-14,71,168,Anglo,light,black,beard,RP,RP,,power_rp,0,0,0,0,52,52,50,0,49,49,48,50,52,49,50,0,59,59,0,57,0,0,0,0,0,0,0,0,0,79,74,78,69,63,70,67,0,76,85,0,84,0,57
D20300022,Cruz,Krammer,S,R,CF,[],False,2012-03-12,76,212,Hispanic,dark,black,clean_shaven,,,power,,49,58,48,50,51,51,52,48,52,49,0,0,0,0,0,0,0,0,0,0,0,78,74,75,63,51,0,0,48,75,62,0,0,0,0,0,0,0,0,0,0,0,69
D20300023,Rafael,Lopez,R,R,C,[],False,2012-09-20,71,205,Anglo,medium,black,goatee,,,speed,,49,51,70,50,49,48,53,50,49,51,0,0,0,0,0,0,0,0,0,0,0,75,78,90,80,49,0,0,50,75,69,0,0,0,0,0,0,0,0,0,0,0,68
D20300024,Fernando,Castillo,R,R,P,[],True,2012-11-12,71,196,Anglo,medium,brown,clean_shaven,RP,CL,,closer,0,0,0,0,55,54,48,0,48,51,52,50,52,51,52,55,56,65,0,0,0,0,0,0,0,0,0,0,0,75,67,72,74,63,70,76,74,72,83,0,0,0,57
D20300025,Erich,Zenk,R,R,P,[],True,2012-01-08,75,162,Anglo,medium,blonde,clean_shaven,RP,RP,,power_rp,0,0,0,0,48,49,48,0,50,49,49,50,52,49,50,0,59,61,0,0,0,0,0,0,0,0,0,0,0,65,77,76,63,62,79,63,0,77,71,0,0,0,66
D20300026,Xavier,Taylor,R,R,P,[],True,2012-02-14,72,223,Anglo,medium,red,clean_shaven,RP,RP,,groundball_rp,0,0,0,0,48,51,46,0,49,50,48,52,52,52,50,0,0,57,61,0,0,0,0,0,0,0,0,0,0,75,73,65,63,63,64,79,0,0,78,77,0,0,61
D20300027,Abdul,Koepf,R,R,SS,[],False,2012-01-10,70,240,Anglo,light,black,clean_shaven,,,balanced,,52,52,52,50,51,52,54,51,49,49,0,0,0,0,0,0,0,0,0,0,0,78,72,77,61,51,0,0,51,61,63,0,0,0,0,0,0,0,0,0,0,0,70
D20300028,Luis,Perez,R,R,P,[],True,2012-03-15,73,213,Anglo,light,blonde,clean_shaven,RP,RP,,finesse_rp,0,0,0,0,48,56,47,0,48,51,50,50,52,48,50,62,60,0,0,0,0,0,0,0,0,0,0,0,0,71,66,73,73,74,61,60,90,82,0,0,0,0,62
D20300029,Xavier,Wright,L,L,RF,[],False,2012-05-12,77,191,Anglo,medium,black,clean_shaven,,,speed,,49,50,70,48,48,49,46,51,52,52,0,0,0,0,0,0,0,0,0,0,0,62,68,80,71,48,0,0,51,79,76,0,0,0,0,0,0,0,0,0,0,0,66
