player_id,first_name,last_name,birthdate,height,weight,ethnicity,skin_tone,hair_color,facial_hair,bats,primary_position,other_positions,is_pitcher,role,preferred_pitching_role,ch,ph,sp,eye,gf,pl,vl,sc,fa,arm,endurance,control,movement,hold_runner,fb,cu,cb,sl,si,scb,kn,pot_ch,pot_ph,pot_sp,pot_eye,pot_gf,pot_pl,pot_vl,pot_sc,pot_fa,pot_arm,pot_control,pot_movement,pot_endurance,pot_hold_runner,pot_fb,pot_cu,pot_cb,pot_sl,pot_si,pot_scb,pot_kn,injured,injury_description,return_date,ready,injury_list,injury_start_date,injury_minimum_days,injury_eligible_date,injury_rehab_assignment,injury_rehab_days,durability,pitcher_archetype,hitter_archetype
P7867,Antonio,Martinez,2000-02-29,75,201,Hispanic,dark,brown,beard,L,P,,1,RP,CL,,,,,55,,,,50,49,50,52,52,51,51,54,54,65,0,0,0,,,,,0,,,,61,56,67,64,61,61,65,61,68,76,0,0,0,False,,,0,,,,,,0,50,closer,
P3584,Douglas,Zipp,1988-07-05,78,231,Anglo,light,black,clean_shaven,R,P,,1,RP,SP,,,,,51,,,,49,48,49,51,52,48,46,61,58,59,0,55,0,,,,,0,,,,40,48,44,45,47,38,37,55,56,53,0,49,0,False,,,0,,,,,,0,50,workhorse_sp,
P4704,Sung,Chen,2004-09-12,69,226,Asian,medium,black,clean_shaven,R,P,,1,RP,SP,,,,,50,,,,50,48,50,51,52,52,49,58,58,56,53,0,0,,,,,0,,,,62,69,78,82,70,70,59,74,73,73,77,0,0,False,,,0,,,,,,0,50,finesse_sp,
P7648,Donn,Dunavant,1995-02-12,69,164,Anglo,dark,blonde,mustache,R,P,,1,RP,SP,,,,,51,,,,49,50,51,50,52,51,49,0,62,60,0,57,0,,,,,0,,,,53,47,52,57,51,52,49,0,64,65,0,60,0,False,,,0,,,,,,0,50,power_sp,
P1722,Carlos,Ortiz,1989-02-08,73,227,Hispanic,light,red,beard,L,P,,1,RP,RP,,,,,49,,,,52,52,50,51,52,51,50,62,61,0,0,54,0,,,,,0,,,,46,51,43,49,44,43,46,60,57,0,0,49,0,False,,,0,,,,,,0,50,finesse_rp,
P4412,Yong,Hassan,2000-02-23,77,177,Asian,light,black,clean_shaven,L,P,,1,RP,SP,,,,,51,,,,52,52,50,50,52,48,50,0,59,59,53,55,0,,,,,0,,,,67,59,59,66,56,63,58,0,69,74,67,65,0,False,,,0,,,,,,0,50,power_sp,
P3478,Yong,Tran,1990-02-22,78,191,Asian,dark,black,mustache,R,P,,1,RP,SP,,,,,48,,,,49,50,51,50,52,52,51,0,0,54,60,0,0,,,,,0,,,,40,47,47,47,42,51,50,0,0,47,51,0,0,False,,,0,,,,,,0,50,groundball_sp,
P6979,Manuel,Gomez,1995-01-25,70,217,Hispanic,light,blonde,mustache,R,P,,1,RP,RP,,,,,50,,,,51,48,49,50,52,52,46,58,58,0,0,0,0,,,,,0,,,,55,50,53,57,53,57,46,57,57,0,0,0,0,False,,,0,,,,,,0,50,finesse_rp,
P2659,Yong,Singh,1991-05-07,71,209,Asian,dark,black,clean_shaven,S,P,,1,RP,SP,,,,,48,,,,48,52,48,51,52,52,52,58,0,58,0,0,0,,,,,0,,,,39,51,51,48,40,45,42,50,0,58,0,0,0,False,,,0,,,,,,0,50,workhorse_sp,
P5574,Sung,Huang,1994-07-02,73,226,Asian,medium,brown,clean_shaven,L,P,,1,RP,RP,,,,,48,,,,48,49,49,52,52,51,51,0,58,62,0,54,0,,,,,0,,,,51,51,54,56,50,56,48,0,60,57,0,51,0,False,,,0,,,,,,0,50,power_rp,
P3959,Rubin,Ridep,1995-05-12,70,173,Anglo,light,red,clean_shaven,R,P,,1,RP,LR,,,,,50,,,,52,50,52,50,52,51,52,0,62,0,0,0,0,,,,,0,,,,55,51,55,49,48,50,55,0,66,0,0,0,0,False,,,0,,,,,,0,50,long_relief,
P3950,Cruz,Krammer,1997-10-05,78,201,Anglo,light,brown,beard,L,C,,0,,,57,48,50,52,49,50,48,49,49,51,,,,,,,,,,,,59,47,47,56,49,0,0,49,52,53,,,,,,,,,,,,False,,,0,,,,,,0,50,,spray
P2056,Percy,Allen,1998-10-01,75,229,African,medium,black,beard,R,1B,,0,,,56,50,51,50,49,50,56,51,52,51,,,,,,,,,,,,71,58,60,64,49,0,0,51,64,57,,,,,,,,,,,,False,,,0,,,,,,0,50,,spray
P9612,Cornelius,Crummie,1988-04-23,77,248,Anglo,medium,brown,goatee,R,2B,,0,,,63,51,48,50,48,51,55,51,48,50,,,,,,,,,,,,61,45,42,41,48,0,0,51,43,49,,,,,,,,,,,,False,,,0,,,,,,0,50,,spray
P7498,Sung,Choi,2003-12-01,75,245,Asian,light,black,mustache,R,3B,,0,,,58,51,50,51,48,50,52,51,50,52,,,,,,,,,,,,72,65,63,66,48,0,0,51,63,66,,,,,,,,,,,,False,,,0,,,,,,0,50,,spray
P2847,Erich,Bonillas,1993-02-23,68,171,Anglo,dark,black,clean_shaven,R,SS,,0,,,49,49,70,50,51,49,54,49,51,52,,,,,,,,,,,,47,48,63,50,51,0,0,49,44,47,,,,,,,,,,,,False,,,0,,,,,,0,50,,speed
P6717,Sung,Zhang,1999-03-22,78,199,Asian,medium,black,mustache,R,LF,,0,,,60,59,48,51,50,52,56,50,49,50,,,,,,,,,,,,75,68,56,64,50,0,0,50,64,55,,,,,,,,,,,,False,,,0,,,,,,0,50,,gap
P2473,Hal,Kirkness,1993-11-18,70,184,Anglo,light,brown,clean_shaven,S,CF,,0,,,52,48,49,51,52,50,48,48,50,51,,,,,,,,,,,,48,43,41,45,52,0,0,48,46,46,,,,,,,,,,,,False,,,0,,,,,,0,50,,balanced
P3124,Fernando,Ramirez,1989-04-23,75,214,Hispanic,medium,brown,goatee,R,RF,,0,,,52,52,48,51,49,52,52,48,51,50,,,,,,,,,,,,46,43,39,46,49,0,0,48,45,40,,,,,,,,,,,,False,,,0,,,,,,0,50,,balanced
P9482,Xavier,Allen,1997-05-28,78,219,African,dark,black,clean_shaven,L,1B,,0,,,57,59,48,49,52,50,48,48,50,49,,,,,,,,,,,,58,55,44,47,52,0,0,48,46,50,,,,,,,,,,,,False,,,0,,,,,,0,50,,gap
P8329,Yong,Kim,2002-08-26,72,223,Asian,light,black,clean_shaven,S,CF,,0,,,62,48,49,52,48,49,49,52,48,51,,,,,,,,,,,,74,55,63,57,48,0,0,52,58,57,,,,,,,,,,,,False,,,0,,,,,,0,50,,spray
P7499,Cedric,Allen,1995-10-16,78,238,African,dark,black,clean_shaven,R,SS,,0,,,51,51,70,49,49,52,52,52,50,50,,,,,,,,,,,,46,52,65,54,49,0,0,52,46,49,,,,,,,,,,,,False,,,0,,,,,,0,50,,speed
P8619,Jorge,Garcia,2003-10-05,71,169,Hispanic,light,brown,clean_shaven,R,2B,SS,0,,,51,51,48,50,52,51,55,48,51,52,,,,,,,,,,,,63,63,53,56,52,0,0,48,60,58,,,,,,,,,,,,False,,,0,,,,,,0,50,,average
P6844,Cedric,White,2001-03-04,77,202,African,dark,black,clean_shaven,R,C,,0,,,52,48,70,50,48,48,53,52,49,52,,,,,,,,,,,,63,57,80,63,48,0,0,52,54,62,,,,,,,,,,,,False,,,0,,,,,,0,50,,speed
