player_id,first_name,last_name,bats,throws,primary_position,other_positions,is_pitcher,birthdate,height,weight,ethnicity,skin_tone,hair_color,facial_hair,role,preferred_pitching_role,hitter_archetype,pitcher_archetype,ch,ph,sp,eye,gf,pl,vl,sc,fa,arm,endurance,control,movement,hold_runner,fb,cu,cb,sl,si,scb,kn,pot_ch,pot_ph,pot_sp,pot_eye,pot_gf,pot_pl,pot_vl,pot_sc,pot_fa,pot_arm,pot_control,pot_movement,pot_endurance,pot_hold_runner,pot_fb,pot_cu,pot_cb,pot_sl,pot_si,pot_scb,pot_kn,durability
D20270001,Luis,Vargas,R,R,P,[],True,2009-10-16,70,172,Anglo,light,black,clean_shaven,RP,SP,,power_sp,0,0,0,0,52,53,46,0,48,49,51,50,52,48,49,0,61,58,0,0,0,0,0,0,0,0,0,0,0,62,76,79,82,78,67,64,0,77,83,0,0,0,59
D20270002,Jewel,Nesseth,R,R,3B,[],False,2009-03-15,71,210,Anglo,light,blonde,mustache,,,balanced,,51,50,48,50,48,50,52,52,52,51,0,0,0,0,0,0,0,0,0,0,0,63,66,66,68,48,0,0,52,67,80,0,0,0,0,0,0,0,0,0,0,0,66
D20270003,Rich,Beshero,R,R,P,[],True,2009-06-09,75,179,Anglo,light,blonde,clean_shaven,RP,SP,,groundball_sp,0,0,0,0,51,58,49,0,48,50,52,51,52,51,51,55,56,54,60,0,0,0,0,0,0,0,0,0,0,61,65,67,73,68,71,65,65,82,69,87,0,0,57
D20270004,Luis,Reyes,R,R,1B,[],False,2009-10-27,73,202,Anglo,light,blonde,clean_shaven,,,power,,49,59,48,50,51,52,55,48,51,50,0,0,0,0,0,0,0,0,0,0,0,71,87,61,67,51,0,0,48,68,80,0,0,0,0,0,0,0,0,0,0,0,66
D20270005,Norris,Corping,L,L,P,[],True,2009-06-10,75,234,Hispanic,medium,black,clean_shaven,RP,SP,,workhorse_sp,0,0,0,0,49,54,56,0,50,49,50,51,52,52,48,59,61,61,0,0,0,0,0,0,0,0,0,0,0,70,62,70,74,72,75,73,86,87,87,0,0,0,59
D20270006,Alejandro,Ortiz,L,L,LF,[],False,2009-04-11,78,205,Anglo,medium,brown,clean_shaven,,,power,,51,57,48,49,49,48,46,48,48,49,0,0,0,0,0,0,0,0,0,0,0,81,67,59,60,49,0,0,48,65,77,0,0,0,0,0,0,0,0,0,0,0,69
D20270007,Shad,Mcmeel,L,L,CF,[],False,2009-02-17,68,178,Anglo,light,brown,clean_shaven,,,spray,,64,48,51,49,50,52,47,50,52,51,0,0,0,0,0,0,0,0,0,0,0,85,59,72,59,50,0,0,50,81,78,0,0,0,0,0,0,0,0,0,0,0,65
D20270008,Jamal,Baker,R,R,C,[],False,2009-06-19,74,203,Anglo,light,blonde,mustache,,,average,,49,51,48,51,51,48,54,52,52,49,0,0,0,0,0,0,0,0,0,0,0,70,61,74,76,51,0,0,52,78,67,0,0,0,0,0,0,0,0,0,0,0,68
D20270009,Cedric,Scott,R,R,C,[],False,2009-08-19,72,163,Anglo,dark,blonde,clean_shaven,,,power,,51,58,49,50,49,49,54,52,48,48,0,0,0,0,0,0,0,0,0,0,0,79,80,66,63,49,0,0,52,77,69,0,0,0,0,0,0,0,0,0,0,0,62
D20270010,Manuel,Perez,L,R,P,[],True,2009-07-07,69,208,Anglo,light,brown,clean_shaven,RP,SP,,power_sp,0,0,0,0,49,49,50,0,52,50,50,52,52,51,50,0,61,61,0,0,0,0,0,0,0,0,0,0,0,79,69,76,80,74,62,62,0,84,83,0,0,0,57
