player_id,first_name,last_name,birthdate,height,weight,ethnicity,skin_tone,hair_color,facial_hair,bats,primary_position,other_positions,is_pitcher,role,preferred_pitching_role,ch,ph,sp,eye,gf,pl,vl,sc,fa,arm,endurance,control,movement,hold_runner,fb,cu,cb,sl,si,scb,kn,pot_ch,pot_ph,pot_sp,pot_eye,pot_gf,pot_pl,pot_vl,pot_sc,pot_fa,pot_arm,pot_control,pot_movement,pot_endurance,pot_hold_runner,pot_fb,pot_cu,pot_cb,pot_sl,pot_si,pot_scb,pot_kn,injured,injury_description,return_date,ready,injury_list,injury_start_date,injury_minimum_days,injury_eligible_date,injury_rehab_assignment,injury_rehab_days,durability,pitcher_archetype,hitter_archetype
P1103,Andy,Lafayette,1991-05-30,72,199,Anglo,medium,brown,mustache,L,P,,1,RP,CL,,,,,55,,,,48,51,48,50,52,48,51,56,54,65,0,0,0,,,,,0,,,,39,43,50,45,43,40,41,56,46,62,0,0,0,False,,,0,,,,,,0,50,closer,
P8485,Rufus,Washington,2002-06-21,78,223,African,dark,brown,clean_shaven,L,P,,1,RP,RP,,,,,49,,,,52,49,52,52,52,50,50,58,0,0,0,0,0,,,,,0,,,,59,64,57,60,59,58,55,72,0,0,0,0,0,False,,,0,,,,,,0,50,finesse_rp,
P9453,Yong,Hassan,2001-06-16,75,220,Asian,light,black,clean_shaven,L,P,,1,RP,RP,,,,,52,,,,52,48,50,50,52,51,46,0,59,58,0,0,0,,,,,0,,,,57,60,63,58,58,62,60,0,69,71,0,0,0,False,,,0,,,,,,0,50,power_rp,
P8223,Roberto,Gomez,1990-06-16,70,170,Hispanic,medium,brown,clean_shaven,L,P,,1,RP,RP,,,,,49,,,,51,49,49,50,52,49,47,0,0,58,0,0,0,,,,,0,,,,41,39,47,43,43,41,45,0,0,49,0,0,0,False,,,0,,,,,,0,50,power_rp,
P4205,Francisco,Garcia,1992-03-30,75,176,Hispanic,medium,brown,clean_shaven,L,P,,1,RP,SP,,,,,51,,,,50,52,50,52,52,49,51,61,62,0,0,0,0,,,,,0,,,,48,48,43,48,41,49,47,51,55,0,0,0,0,False,,,0,,,,,,0,50,finesse_sp,
P4991,Carlos,Ramirez,1992-02-05,74,179,Hispanic,light,blonde,goatee,R,P,,1,RP,RP,,,,,51,,,,51,52,50,50,52,48,52,0,56,54,59,0,0,,,,,0,,,,45,46,45,49,44,47,42,0,46,45,55,0,0,False,,,0,,,,,,0,50,groundball_rp,
P7849,Donnie,Strapp,1999-04-29,75,184,Anglo,medium,red,beard,L,P,,1,RP,RP,,,,,50,,,,51,51,48,51,52,51,51,0,0,59,0,0,0,,,,,0,,,,60,65,57,60,57,66,64,0,0,68,0,0,0,False,,,0,,,,,,0,50,power_rp,
P5385,Alejandro,Delgado,1990-01-04,74,166,Hispanic,medium,black,mustache,L,P,,1,RP,SP,,,,,52,,,,50,49,52,52,52,50,48,55,0,56,59,0,0,,,,,0,,,,45,40,52,47,42,42,43,45,0,56,58,0,0,False,,,0,,,,,,0,50,groundball_sp,
P6325,Arlie,Dunagan,1993-01-27,74,206,Anglo,light,brown,clean_shaven,R,P,,1,RP,RP,,,,,51,,,,52,51,51,52,52,52,51,0,60,0,0,0,0,,,,,0,,,,50,49,48,50,44,43,44,0,59,0,0,0,0,False,,,0,,,,,,0,50,power_rp,
P6605,Tyrone,Taylor,1987-07-13,74,169,African,light,brown,clean_shaven,R,P,,1,RP,SP,,,,,50,,,,52,48,48,50,52,51,47,54,53,54,58,0,0,,,,,0,,,,44,41,43,49,48,41,46,47,49,47,51,0,0,False,,,0,,,,,,0,50,groundball_sp,
