player_id,first_name,last_name,bats,throws,primary_position,other_positions,is_pitcher,birthdate,height,weight,ethnicity,skin_tone,hair_color,facial_hair,role,preferred_pitching_role,hitter_archetype,pitcher_archetype,ch,ph,sp,eye,gf,pl,vl,sc,fa,arm,endurance,control,movement,hold_runner,fb,cu,cb,sl,si,scb,kn,pot_ch,pot_ph,pot_sp,pot_eye,pot_gf,pot_pl,pot_vl,pot_sc,pot_fa,pot_arm,pot_control,pot_movement,pot_endurance,pot_hold_runner,pot_fb,pot_cu,pot_cb,pot_sl,pot_si,pot_scb,pot_kn,durability
D20260001,Rafael,Rivera,L,L,P,[],True,2008-02-16,68,226,Anglo,light,blonde,clean_shaven,RP,SP,,finesse_sp,0,0,0,0,52,60,55,0,52,48,48,50,52,48,50,59,58,0,0,0,0,0,0,0,0,0,0,0,0,73,61,70,77,70,74,77,72,75,0,0,0,0,59
D20260002,Cedric,Wright,L,R,SS,[],False,2008-09-13,72,223,Hispanic,light,brown,goatee,,,power,,49,57,52,51,48,50,47,48,48,52,0,0,0,0,0,0,0,0,0,0,0,66,86,70,77,48,0,0,48,65,68,0,0,0,0,0,0,0,0,0,0,0,64
D20260003,Micheal,Puri,S,L,P,[],True,2008-11-14,73,170,Anglo,dark,black,beard,RP,SP,,balanced_sp,0,0,0,0,52,54,54,0,52,52,50,52,52,50,52,60,58,61,0,0,0,0,0,0,0,0,0,0,0,74,65,72,71,61,74,81,87,73,91,0,0,0,64
D20260004,Pedro,Garcia,R,R,CF,[],False,2008-06-17,78,195,Anglo,dark,brown,clean_shaven,,,balanced,,49,50,52,49,52,49,55,50,49,51,0,0,0,0,0,0,0,0,0,0,0,60,64,73,77,52,0,0,50,71,79,0,0,0,0,0,0,0,0,0,0,0,66
D20260005,Tyrone,Robinson,R,R,RF,[],False,2008-10-15,78,175,Anglo,light,blonde,clean_shaven,,,spray,,62,51,51,52,51,52,56,48,50,52,0,0,0,0,0,0,0,0,0,0,0,74,64,75,76,51,0,0,48,67,79,0,0,0,0,0,0,0,0,0,0,0,61
D20260006,Jordan,Brazzle,L,L,RF,[],False,2008-06-25,69,246,Anglo,light,brown,beard,,,balanced,,49,50,49,51,51,49,48,48,52,52,0,0,0,0,0,0,0,0,0,0,0,64,76,70,64,51,0,0,48,78,73,0,0,0,0,0,0,0,0,0,0,0,61
D20260007,Ricardo,Lopez,S,L,RF,[],False,2008-11-06,73,160,Anglo,light,blonde,beard,,,balanced,,52,50,51,51,49,48,52,50,51,49,0,0,0,0,0,0,0,0,0,0,0,79,66,80,65,49,0,0,50,81,70,0,0,0,0,0,0,0,0,0,0,0,73
D20260008,Jose,Lopez,L,L,P,[],True,2008-06-14,72,177,Hispanic,light,blonde,clean_shaven,RP,SP,,balanced_sp,0,0,0,0,52,52,56,0,49,51,48,52,52,48,52,60,62,61,57,0,0,0,0,0,0,0,0,0,0,60,66,71,71,65,68,65,73,80,74,79,0,0,62
D20260009,Luis,Ortiz,L,R,SS,[],False,2008-06-22,78,172,Anglo,medium,blonde,clean_shaven,,,spray,,66,52,50,50,51,49,44,51,48,49,0,0,0,0,0,0,0,0,0,0,0,77,66,69,62,51,0,0,51,66,75,0,0,0,0,0,0,0,0,0,0,0,69
D20260010,Xavier,Allen,L,L,RF,[],False,2008-12-01,76,211,African,dark,black,clean_shaven,,,spray,,61,51,50,50,48,52,44,50,48,48,0,0,0,0,0,0,0,0,0,0,0,85,64,62,63,48,0,0,50,69,72,0,0,0,0,0,0,0,0,0,0,0,66
D20260011,Juan,Ramirez,R,R,LF,[],False,2008-07-26,75,173,Anglo,light,black,clean_shaven,,,gap,,57,59,52,49,48,50,56,50,52,51,0,0,0,0,0,0,0,0,0,0,0,67,85,77,76,48,0,0,50,71,81,0,0,0,0,0,0,0,0,0,0,0,69
D20260012,Jay,Honkanen,R,R,P,[],True,2008-04-24,75,213,African,medium,black,clean_shaven,RP,SP,,finesse_sp,0,0,0,0,48,54,50,0,49,50,50,52,52,51,52,58,61,0,0,0,0,0,0,0,0,0,0,0,0,64,80,77,80,75,75,82,84,86,0,0,0,0,56
D20260013,Jorge,Martinez,L,L,1B,[],False,2008-04-13,75,201,Hispanic,medium,brown,clean_shaven,,,spray,,59,52,48,50,51,48,44,48,51,49,0,0,0,0,0,0,0,0,0,0,0,69,62,64,71,51,0,0,48,68,59,0,0,0,0,0,0,0,0,0,0,0,74
D20260014,Xavier,Harris,S,R,3B,[],False,2008-08-04,77,188,Hispanic,medium,black,goatee,,,balanced,,50,48,48,49,51,49,49,52,48,51,0,0,0,0,0,0,0,0,0,0,0,63,78,64,64,51,0,0,52,67,64,0,0,0,0,0,0,0,0,0,0,0,65
D20260015,Parker,Lueck,R,R,P,[],True,2008-11-16,72,217,Anglo,light,brown,clean_shaven,RP,SP,,balanced_sp,0,0,0,0,51,60,50,0,49,48,51,50,52,49,47,0,58,62,0,0,0,0,0,0,0,0,0,0,0,63,58,70,79,81,65,62,0,88,72,0,0,0,60
D20260016,Jose,Martinez,S,R,RF,[],False,2008-07-24,74,160,African,dark,black,clean_shaven,,,power,,49,59,52,50,49,49,49,51,51,52,0,0,0,0,0,0,0,0,0,0,0,69,75,65,71,49,0,0,51,76,69,0,0,0,0,0,0,0,0,0,0,0,67
D20260017,Son,Grosso,R,R,2B,[],False,2008-08-10,74,242,African,dark,black,clean_shaven,,,gap,,50,49,49,49,52,48,56,50,51,50,0,0,0,0,0,0,0,0,0,0,0,79,61,62,73,52,0,0,50,65,64,0,0,0,0,0,0,0,0,0,0,0,73
D20260018,Tyrone,Young,R,R,RF,[],False,2008-04-02,73,211,Hispanic,light,brown,clean_shaven,,,speed,,48,48,75,50,48,48,53,52,49,48,0,0,0,0,0,0,0,0,0,0,0,63,60,86,61,48,0,0,52,65,59,0,0,0,0,0,0,0,0,0,0,0,67
D20260019,Alejandro,Rodriguez,S,R,3B,[],False,2008-10-23,75,216,Hispanic,light,black,clean_shaven,,,power,,48,58,48,51,48,49,49,51,50,50,0,0,0,0,0,0,0,0,0,0,0,69,85,62,66,48,0,0,51,67,66,0,0,0,0,0,0,0,0,0,0,0,67
D20260020,Pedro,Guerrero,R,R,LF,[],False,2008-11-27,73,178,Anglo,medium,blonde,clean_shaven,,,average,,51,51,50,50,52,50,52,48,51,48,0,0,0,0,0,0,0,0,0,0,0,68,61,62,75,52,0,0,48,72,73,0,0,0,0,0,0,0,0,0,0,0,70
D20260021,Rufus,Scott,L,R,SS,[],False,2008-08-03,76,211,Anglo,light,black,clean_shaven,,,gap,,48,51,52,49,52,48,47,50,48,52,0,0,0,0,0,0,0,0,0,0,0,59,81,76,78,52,0,0,50,67,73,0,0,0,0,0,0,0,0,0,0,0,76
D20260022,Fernando,Rivera,L,L,RF,['LF'],False,2008-07-05,73,225,Anglo,light,blonde,clean_shaven,,,power,,51,60,49,52,52,48,44,52,49,52,0,0,0,0,0,0,0,0,0,0,0,77,72,59,69,52,0,0,52,64,68,0,0,0,0,0,0,0,0,0,0,0,65
D20260023,Juan,Martinez,R,R,CF,[],False,2008-10-12,73,175,Hispanic,medium,brown,clean_shaven,,,gap,,62,59,51,51,50,50,52,52,48,49,0,0,0,0,0,0,0,0,0,0,0,80,84,75,78,50,0,0,52,60,78,0,0,0,0,0,0,0,0,0,0,0,68
D20260024,Manuel,Hernandez,R,R,3B,[],False,2008-12-22,72,163,Anglo,light,black,clean_shaven,,,balanced,,52,50,51,51,50,52,55,52,51,49,0,0,0,0,0,0,0,0,0,0,0,80,79,81,73,50,0,0,52,68,78,0,0,0,0,0,0,0,0,0,0,0,66
D20260025,Yong,Nguyen,L,R,P,[],True,2008-04-12,72,191,Anglo,medium,brown,clean_shaven,RP,SP,,finesse_sp,0,0,0,0,50,52,49,0,51,48,51,50,52,48,50,62,60,57,0,57,0,0,0,0,0,0,0,0,0,78,64,76,67,71,63,66,84,81,79,0,74,0,60
D20260026,Jose,Guerrero,L,L,P,[],True,2008-02-02,77,169,Anglo,light,brown,clean_shaven,RP,RP,,power_rp,0,0,0,0,48,55,55,0,48,51,52,50,52,48,53,0,60,58,53,0,0,0,0,0,0,0,0,0,0,58,70,65,64,64,76,74,0,88,88,80,0,0,56
D20260027,Herman,Barriger,S,R,P,[],True,2008-08-05,68,211,Hispanic,medium,brown,mustache,RP,CL,,closer,0,0,0,0,55,51,46,0,50,49,50,50,52,51,48,0,53,65,0,0,0,0,0,0,0,0,0,0,0,77,76,74,72,67,70,76,0,75,94,0,0,0,63
D20260028,Alejandro,Mendoza,L,R,2B,[],False,2008-10-17,70,210,Hispanic,dark,brown,clean_shaven,,,average,,51,49,49,51,51,50,46,50,51,50,0,0,0,0,0,0,0,0,0,0,0,81,72,76,63,51,0,0,50,67,75,0,0,0,0,0,0,0,0,0,0,0,66
D20260029,Pedro,Gonzalez,R,R,2B,[],False,2008-06-23,69,224,Anglo,light,brown,clean_shaven,,,power,,51,57,50,50,49,52,53,51,48,49,0,0,0,0,0,0,0,0,0,0,0,72,68,76,74,49,0,0,51,78,76,0,0,0,0,0,0,0,0,0,0,0,64
D20260030,Xavier,Washington,L,L,P,[],True,2008-02-08,72,232,Anglo,light,brown,clean_shaven,RP,SP,,groundball_sp,0,0,0,0,49,42,55,0,50,49,48,50,52,52,49,0,53,0,59,0,0,0,0,0,0,0,0,0,0,65,70,77,81,76,64,63,0,72,0,71,0,0,65
D20260031,Luis,Castillo,R,R,C,[],False,2008-12-21,78,167,Anglo,light,black,mustache,,,elite_speed,,50,48,85,49,49,49,54,51,48,49,0,0,0,0,0,0,0,0,0,0,0,71,58,99,61,49,0,0,51,64,79,0,0,0,0,0,0,0,0,0,0,0,61
D20260032,Dexter,Batchelor,R,R,3B,[],False,2008-01-05,73,192,Anglo,light,brown,beard,,,spray,,59,49,50,50,48,48,55,48,50,52,0,0,0,0,0,0,0,0,0,0,0,89,60,72,63,48,0,0,48,70,78,0,0,0,0,0,0,0,0,0,0,0,73
D20260033,Yong,Liu,R,R,LF,[],False,2008-01-05,71,198,Anglo,medium,brown,mustache,,,power,,49,58,49,48,52,50,52,52,48,48,0,0,0,0,0,0,0,0,0,0,0,73,69,61,67,52,0,0,52,58,61,0,0,0,0,0,0,0,0,0,0,0,63
D20260034,Harvey,Zuckerman,L,L,RF,[],False,2008-12-22,77,177,Hispanic,medium,blonde,clean_shaven,,,gap,,51,48,49,51,52,52,47,50,52,52,0,0,0,0,0,0,0,0,0,0,0,73,59,67,76,52,0,0,50,75,68,0,0,0,0,0,0,0,0,0,0,0,71
D20260035,Rufus,Wright,S,R,2B,[],False,2008-12-20,78,247,Hispanic,medium,brown,clean_shaven,,,balanced,,52,51,49,49,51,50,50,49,50,48,0,0,0,0,0,0,0,0,0,0,0,62,79,75,77,51,0,0,49,68,65,0,0,0,0,0,0,0,0,0,0,0,64
D20260036,Carlton,Polachek,R,R,P,['1B'],True,2008-06-26,78,173,Anglo,dark,brown,clean_shaven,RP,SP,,power_sp,0,0,0,0,48,51,50,0,48,48,49,51,52,49,50,57,62,61,57,0,0,0,0,0,0,0,0,0,0,68,61,79,72,77,78,76,69,82,87,80,0,0,53
D20260037,Miguel,Rodriguez,R,R,CF,[],False,2008-03-16,74,211,Anglo,medium,red,clean_shaven,,,speed,,50,52,70,51,49,51,56,51,51,48,0,0,0,0,0,0,0,0,0,0,0,62,65,86,74,49,0,0,51,75,67,0,0,0,0,0,0,0,0,0,0,0,64
D20260038,Parker,Lueck,R,R,P,[],True,2008-09-03,78,236,Anglo,light,blonde,mustache,RP,LR,,long_relief,0,0,0,0,48,52,48,0,48,51,48,51,52,52,50,58,59,59,0,0,0,0,0,0,0,0,0,0,0,67,66,75,69,72,78,61,73,85,79,0,0,0,55
D20260039,Billy,Sartell,L,L,P,[],True,2008-12-06,71,175,Hispanic,light,black,goatee,RP,SP,,balanced_sp,0,0,0,0,51,59,54,0,50,48,48,50,52,52,46,0,59,58,0,0,0,0,0,0,0,0,0,0,0,68,69,75,71,72,79,61,0,73,86,0,0,0,54
D20260040,Carlos,Cruz,L,R,P,[],True,2008-12-15,73,220,Anglo,light,black,goatee,RP,SP,,power_sp,0,0,0,0,50,56,47,0,51,50,49,51,52,52,49,0,59,61,0,0,0,0,0,0,0,0,0,0,0,68,61,74,81,60,79,71,0,82,75,0,0,0,63
D20260041,Carlos,Vargas,R,R,3B,['2B'],False,2008-11-14,74,190,Hispanic,light,black,clean_shaven,,,spray,,57,50,50,51,51,52,54,50,48,49,0,0,0,0,0,0,0,0,0,0,0,82,62,62,75,51,0,0,50,65,69,0,0,0,0,0,0,0,0,0,0,0,75
D20260042,Eduardo,Martinez,R,R,P,[],True,2008-03-17,76,164,Anglo,medium,red,clean_shaven,RP,LR,,long_relief,0,0,0,0,49,54,48,0,52,50,52,50,52,52,51,62,59,59,0,0,0,0,0,0,0,0,0,0,0,62,63,67,67,79,78,76,86,82,76,0,0,0,63
D20260043,Juan,Martinez,R,R,3B,[],False,2008-07-26,71,241,Anglo,medium,brown,clean_shaven,,,balanced,,51,51,52,52,48,50,54,49,49,50,0,0,0,0,0,0,0,0,0,0,0,66,71,71,71,48,0,0,49,62,64,0,0,0,0,0,0,0,0,0,0,0,66
D20260044,Fernando,Flores,L,L,RF,[],False,2008-11-02,74,165,Anglo,light,brown,clean_shaven,,,power,,48,58,48,49,50,49,47,48,49,48,0,0,0,0,0,0,0,0,0,0,0,71,76,60,63,50,0,0,48,70,61,0,0,0,0,0,0,0,0,0,0,0,68
D20260045,Ricardo,Sanchez,R,R,C,[],False,2008-07-17,78,224,Anglo,medium,brown,goatee,,,balanced,,51,48,50,50,49,49,52,51,50,52,0,0,0,0,0,0,0,0,0,0,0,77,76,74,76,49,0,0,51,69,80,0,0,0,0,0,0,0,0,0,0,0,64
