player_id,first_name,last_name,birthdate,height,weight,ethnicity,skin_tone,hair_color,facial_hair,bats,primary_position,other_positions,is_pitcher,role,preferred_pitching_role,ch,ph,sp,eye,gf,pl,vl,sc,fa,arm,endurance,control,movement,hold_runner,fb,cu,cb,sl,si,scb,kn,pot_ch,pot_ph,pot_sp,pot_eye,pot_gf,pot_pl,pot_vl,pot_sc,pot_fa,pot_arm,pot_control,pot_movement,pot_endurance,pot_hold_runner,pot_fb,pot_cu,pot_cb,pot_sl,pot_si,pot_scb,pot_kn,injured,injury_description,return_date,ready,injury_list,injury_start_date,injury_minimum_days,injury_eligible_date,injury_rehab_assignment,injury_rehab_days,durability,pitcher_archetype,hitter_archetype
P8430,Cedric,Young,1991-08-06,70,230,African,dark,black,clean_shaven,L,P,,1,RP,CL,,,,,55,,,,52,51,52,51,52,49,52,0,0,65,0,0,0,,,,,0,,,,52,43,46,42,50,42,45,0,0,58,0,0,0,False,,,0,,,,,,0,50,closer,
P7714,Yong,Zhang,1990-03-10,74,193,Asian,light,black,clean_shaven,R,P,,1,RP,SP,,,,,52,,,,49,52,51,50,52,48,52,56,58,62,56,0,0,,,,,0,,,,46,50,50,46,48,45,43,54,49,60,53,0,0,False,,,0,,,,,,0,50,power_sp,
P8902,Ricardo,Gonzalez,2004-05-16,70,178,Hispanic,medium,brown,mustache,L,P,,1,RP,SP,,,,,51,,,,48,49,52,50,52,50,47,0,59,59,0,0,0,,,,,0,,,,64,62,67,81,66,60,63,0,79,89,0,0,0,False,,,0,,,,,,0,50,balanced_sp,
P1748,Abe,Mozie,1993-03-31,76,180,Anglo,light,brown,beard,R,P,,1,RP,SP,,,,,51,,,,50,48,51,50,52,52,48,0,57,57,58,0,0,,,,,0,,,,41,41,48,44,46,51,38,0,56,48,57,0,0,False,,,0,,,,,,0,50,groundball_sp,
P3420,Jose,Diaz,2000-08-22,68,240,Hispanic,light,black,mustache,L,P,,1,RP,SP,,,,,51,,,,50,48,48,50,52,52,49,0,58,61,0,0,0,,,,,0,,,,56,57,65,62,54,60,61,0,67,74,0,0,0,False,,,0,,,,,,0,50,power_sp,
P5830,Tyrone,Green,1990-11-11,76,198,African,dark,black,mustache,R,P,,1,RP,SP,,,,,49,,,,48,52,49,50,52,49,50,0,56,0,61,0,0,,,,,0,,,,46,45,40,50,47,49,49,0,51,0,56,0,0,False,,,0,,,,,,0,50,groundball_sp,
P9047,Yong,Chen,1991-03-02,70,236,Asian,medium,black,beard,L,P,,1,RP,RP,,,,,52,,,,52,50,48,50,52,52,52,57,62,62,0,0,0,,,,,0,,,,50,48,49,43,48,49,52,53,62,59,0,0,0,False,,,0,,,,,,0,50,power_rp,
P6783,Francisco,Martinez,2000-11-24,75,214,Hispanic,medium,brown,clean_shaven,L,P,,1,RP,RP,,,,,50,,,,48,51,50,50,52,48,51,0,54,54,61,0,0,,,,,0,,,,62,56,58,60,59,57,63,0,62,64,66,0,0,False,,,0,,,,,,0,50,groundball_rp,
P9562,Fritz,Sjostrom,1998-06-09,77,223,Anglo,light,brown,clean_shaven,L,P,,1,RP,RP,,,,,51,,,,48,52,52,52,52,52,52,0,60,62,0,0,0,,,,,0,,,,57,59,57,60,67,62,64,0,66,77,0,0,0,False,,,0,,,,,,0,50,power_rp,
P4328,Yong,Huang,1998-03-28,71,237,Asian,medium,black,clean_shaven,L,P,,1,RP,SP,,,,,51,,,,48,52,51,52,52,49,50,57,58,58,0,0,0,,,,,0,,,,56,61,64,61,64,54,57,67,66,72,0,0,0,False,,,0,,,,,,0,50,power_sp,
