player_id,first_name,last_name,bats,throws,primary_position,other_positions,is_pitcher,birthdate,height,weight,ethnicity,skin_tone,hair_color,facial_hair,role,preferred_pitching_role,hitter_archetype,pitcher_archetype,ch,ph,sp,eye,gf,pl,vl,sc,fa,arm,endurance,control,movement,hold_runner,fb,cu,cb,sl,si,scb,kn,pot_ch,pot_ph,pot_sp,pot_eye,pot_gf,pot_pl,pot_vl,pot_sc,pot_fa,pot_arm,pot_control,pot_movement,pot_endurance,pot_hold_runner,pot_fb,pot_cu,pot_cb,pot_sl,pot_si,pot_scb,pot_kn,durability
D20270001,Darnell,White,R,R,C,[],False,2009-12-07,69,184,Anglo,medium,black,clean_shaven,,,speed,,49,51,70,51,52,52,56,48,48,51,0,0,0,0,0,0,0,0,0,0,0,70,72,89,71,52,0,0,48,73,80,0,0,0,0,0,0,0,0,0,0,0,78
D20270002,Bryon,Kroesing,R,R,P,[],True,2009-11-09,71,169,Anglo,light,black,clean_shaven,RP,RP,,groundball_rp,0,0,0,0,49,48,47,0,50,51,50,52,52,48,49,0,0,0,60,0,0,0,0,0,0,0,0,0,0,71,68,64,80,76,72,78,0,0,0,76,0,0,56
D20270003,Sung,Pham,R,R,LF,[],False,2009-07-15,74,218,Anglo,light,brown,clean_shaven,,,speed,,51,52,76,51,52,50,52,49,49,52,0,0,0,0,0,0,0,0,0,0,0,80,70,95,62,52,0,0,49,64,69,0,0,0,0,0,0,0,0,0,0,0,64
D20270004,Eduardo,Morales,S,R,P,[],True,2009-09-14,73,242,Anglo,light,black,clean_shaven,RP,SP,,balanced_sp,0,0,0,0,48,53,50,0,51,50,52,50,52,49,49,0,61,59,0,0,0,0,0,0,0,0,0,0,0,73,66,62,67,71,79,76,0,84,79,0,0,0,58
D20270005,Miguel,Castillo,R,R,C,[],False,2009-03-15,68,180,Anglo,light,blonde,clean_shaven,,,average,,48,51,49,50,48,48,54,48,50,49,0,0,0,0,0,0,0,0,0,0,0,76,65,78,69,48,0,0,48,63,63,0,0,0,0,0,0,0,0,0,0,0,56
D20270006,Bo,Barcroft,R,R,P,[],True,2009-02-23,78,208,Anglo,light,red,clean_shaven,RP,RP,,power_rp,0,0,0,0,51,64,50,0,52,52,48,50,52,50,53,0,60,60,0,0,0,0,0,0,0,0,0,0,0,65,64,62,62,59,67,65,0,88,81,0,0,0,54
D20270007,Darnell,Washington,R,R,2B,[],False,2009-07-20,72,178,Anglo,light,blonde,clean_shaven,,,balanced,,52,48,51,50,52,51,56,52,52,49,0,0,0,0,0,0,0,0,0,0,0,82,68,80,67,52,0,0,52,74,72,0,0,0,0,0,0,0,0,0,0,0,60
D20270008,Dante,Delullo,R,R,RF,[],False,2009-10-15,73,199,Anglo,light,brown,clean_shaven,,,balanced,,48,51,52,50,50,51,56,51,50,49,0,0,0,0,0,0,0,0,0,0,0,69,61,81,77,50,0,0,51,64,74,0,0,0,0,0,0,0,0,0,0,0,67
D20270009,Leopoldo,Byczek,R,R,P,[],True,2009-09-28,68,249,Anglo,dark,blonde,clean_shaven,RP,CL,,closer,0,0,0,0,55,51,49,0,52,51,51,52,52,49,49,0,56,65,0,0,0,0,0,0,0,0,0,0,0,62,79,80,74,78,60,71,0,79,81,0,0,0,63
D20270010,Jose,Diaz,R,R,C,[],False,2009-02-14,77,221,Anglo,medium,brown,clean_shaven,,,average,,52,50,48,52,50,50,54,51,51,52,0,0,0,0,0,0,0,0,0,0,0,77,67,63,72,50,0,0,51,63,66,0,0,0,0,0,0,0,0,0,0,0,66
